ID	IRI	LABEL
http://pygraf.t/C1	http://pygraf.t/C1	
http://pygraf.t/C10	http://pygraf.t/C10	
http://pygraf.t/C2	http://pygraf.t/C2	
http://pygraf.t/C3	http://pygraf.t/C3	
http://pygraf.t/C4	http://pygraf.t/C4	
http://pygraf.t/C5	http://pygraf.t/C5	
http://pygraf.t/C6	http://pygraf.t/C6	
http://pygraf.t/C7	http://pygraf.t/C7	
http://pygraf.t/C8	http://pygraf.t/C8	
http://pygraf.t/C9	http://pygraf.t/C9	
http://pygraf.t/CentralNode	http://pygraf.t/CentralNode	Central Node
http://pygraf.t/ConnectorNode	http://pygraf.t/ConnectorNode	Connector Node
http://pygraf.t/EntityA	http://pygraf.t/EntityA	Entity A
http://pygraf.t/EntityB	http://pygraf.t/EntityB	Entity B
http://pygraf.t/EntityC	http://pygraf.t/EntityC	Entity C
http://pygraf.t/EntityD	http://pygraf.t/EntityD	Entity D
http://pygraf.t/EntityE	http://pygraf.t/EntityE	Entity E
http://pygraf.t/EntityF	http://pygraf.t/EntityF	Entity F
http://pygraf.t/EntityG	http://pygraf.t/EntityG	Entity G
http://pygraf.t/EntityH	http://pygraf.t/EntityH	Entity H
http://pygraf.t/EntityI	http://pygraf.t/EntityI	Entity I
http://pygraf.t/EntityJ	http://pygraf.t/EntityJ	Entity J
http://pygraf.t/EntityK	http://pygraf.t/EntityK	Entity K
http://pygraf.t/EntityL	http://pygraf.t/EntityL	Entity L
http://pygraf.t/EntityM	http://pygraf.t/EntityM	Entity M
http://pygraf.t/EntityN	http://pygraf.t/EntityN	Entity N
http://pygraf.t/EntityO	http://pygraf.t/EntityO	Entity O
http://pygraf.t/EntityP	http://pygraf.t/EntityP	Entity P
http://pygraf.t/EntityQ	http://pygraf.t/EntityQ	Entity Q
http://pygraf.t/EntityR	http://pygraf.t/EntityR	Entity R
http://pygraf.t/HighDegreeNode	http://pygraf.t/HighDegreeNode	High Degree Node
http://pygraf.t/HubNode1	http://pygraf.t/HubNode1	Global Hub Node
http://pygraf.t/IntermediaryNode	http://pygraf.t/IntermediaryNode	Intermediary Node
http://pygraf.t/MultiplexNode	http://pygraf.t/MultiplexNode	Multiplex Node
http://pygraf.t/SuperNode	http://pygraf.t/SuperNode	Super Node
