ID	IRI	LABEL
http://pygraf.t/C1	http://pygraf.t/C1	
http://pygraf.t/C10	http://pygraf.t/C10	
http://pygraf.t/C3	http://pygraf.t/C3	
http://pygraf.t/C4	http://pygraf.t/C4	
http://pygraf.t/C5	http://pygraf.t/C5	
http://pygraf.t/C9	http://pygraf.t/C9	
http://pygraf.t/E_Central	http://pygraf.t/E_Central	Central Node
http://pygraf.t/E_Cluster	http://pygraf.t/E_Cluster	Cluster Node
http://pygraf.t/E_Connector	http://pygraf.t/E_Connector	Connector Node
http://pygraf.t/E_HighDegree	http://pygraf.t/E_HighDegree	High-Degree Node
http://pygraf.t/E_Hub	http://pygraf.t/E_Hub	Hub Node
http://pygraf.t/E_Intermediary	http://pygraf.t/E_Intermediary	Intermediary Node
http://pygraf.t/E_Isolate	http://pygraf.t/E_Isolate	Isolate Node
http://pygraf.t/E_Leaf	http://pygraf.t/E_Leaf	Leaf Node
http://pygraf.t/E_Multiplex	http://pygraf.t/E_Multiplex	Multiplex Node
http://pygraf.t/E_Specialist	http://pygraf.t/E_Specialist	Specialist Node
http://pygraf.t/E_Super	http://pygraf.t/E_Super	Super Node
