ID	IRI	LABEL
http://pygraf.t/CentralNode	http://pygraf.t/CentralNode	Central Node
http://pygraf.t/ConnectorNode	http://pygraf.t/ConnectorNode	Connector Node
http://pygraf.t/E1001	http://pygraf.t/E1001	Entity 1001
http://pygraf.t/E1002	http://pygraf.t/E1002	Entity 1002
http://pygraf.t/E1003	http://pygraf.t/E1003	Entity 1003
http://pygraf.t/E1004	http://pygraf.t/E1004	Entity 1004
http://pygraf.t/E1005	http://pygraf.t/E1005	Entity 1005
http://pygraf.t/E1006	http://pygraf.t/E1006	Entity 1006
http://pygraf.t/E1007	http://pygraf.t/E1007	Entity 1007
http://pygraf.t/E1008	http://pygraf.t/E1008	Entity 1008
http://pygraf.t/E1009	http://pygraf.t/E1009	Entity 1009
http://pygraf.t/E1010	http://pygraf.t/E1010	Entity 1010
http://pygraf.t/E1011	http://pygraf.t/E1011	Entity 1011
http://pygraf.t/E1012	http://pygraf.t/E1012	Entity 1012
http://pygraf.t/E1013	http://pygraf.t/E1013	Entity 1013
http://pygraf.t/E1014	http://pygraf.t/E1014	Entity 1014
http://pygraf.t/E1015	http://pygraf.t/E1015	Entity 1015
http://pygraf.t/E1016	http://pygraf.t/E1016	Entity 1016
http://pygraf.t/E1017	http://pygraf.t/E1017	Entity 1017
http://pygraf.t/E1018	http://pygraf.t/E1018	Entity 1018
http://pygraf.t/E1019	http://pygraf.t/E1019	Entity 1019
http://pygraf.t/E1020	http://pygraf.t/E1020	Entity 1020
http://pygraf.t/E1021	http://pygraf.t/E1021	Entity 1021
http://pygraf.t/E1022	http://pygraf.t/E1022	Entity 1022
http://pygraf.t/E1023	http://pygraf.t/E1023	Entity 1023
http://pygraf.t/E1024	http://pygraf.t/E1024	Entity 1024
http://pygraf.t/E1025	http://pygraf.t/E1025	Entity 1025
http://pygraf.t/E1026	http://pygraf.t/E1026	Entity 1026
http://pygraf.t/E1027	http://pygraf.t/E1027	Entity 1027
http://pygraf.t/E1028	http://pygraf.t/E1028	Entity 1028
http://pygraf.t/E1029	http://pygraf.t/E1029	Entity 1029
http://pygraf.t/E1030	http://pygraf.t/E1030	Entity 1030
http://pygraf.t/E1031	http://pygraf.t/E1031	Entity 1031
http://pygraf.t/E1032	http://pygraf.t/E1032	Entity 1032
http://pygraf.t/E1033	http://pygraf.t/E1033	Entity 1033
http://pygraf.t/E1034	http://pygraf.t/E1034	Entity 1034
http://pygraf.t/E1035	http://pygraf.t/E1035	Entity 1035
http://pygraf.t/E1036	http://pygraf.t/E1036	
http://pygraf.t/E1037	http://pygraf.t/E1037	
http://pygraf.t/HighDegreeNode	http://pygraf.t/HighDegreeNode	High-Degree Node
http://pygraf.t/HubNode	http://pygraf.t/HubNode	Hub Node
http://pygraf.t/IntermediaryNode	http://pygraf.t/IntermediaryNode	Intermediary Node
http://pygraf.t/MultiplexNode	http://pygraf.t/MultiplexNode	Multiplex Node
http://pygraf.t/SuperNode	http://pygraf.t/SuperNode	Super Node
