Level	Rule Name	Subject	Property	Value
ERROR	duplicate_label	Connector D	rdfs:label	Connector D@en
ERROR	duplicate_label	Connector D	rdfs:label	Connector D@en
ERROR	missing_ontology_description	http://pygraf.t/	dc:description	
ERROR	missing_ontology_title	http://pygraf.t/	dc:title	
WARN	missing_definition	Central Node	IAO:0000115	
WARN	missing_definition	Connector Node	IAO:0000115	
WARN	missing_definition	High-Degree Node	IAO:0000115	
WARN	missing_definition	Hub Node	IAO:0000115	
WARN	missing_definition	Intermediary Node	IAO:0000115	
WARN	missing_definition	Multiplex Node	IAO:0000115	
WARN	missing_definition	Super Node	IAO:0000115	
