ID	IRI	LABEL
http://pygraf.t/C1	http://pygraf.t/C1	
http://pygraf.t/C10	http://pygraf.t/C10	
http://pygraf.t/C2	http://pygraf.t/C2	
http://pygraf.t/C3	http://pygraf.t/C3	
http://pygraf.t/C4	http://pygraf.t/C4	
http://pygraf.t/C5	http://pygraf.t/C5	
http://pygraf.t/C6	http://pygraf.t/C6	
http://pygraf.t/C7	http://pygraf.t/C7	
http://pygraf.t/C8	http://pygraf.t/C8	
http://pygraf.t/C9	http://pygraf.t/C9	
http://pygraf.t/E2000	http://pygraf.t/E2000	Central Hub Node
http://pygraf.t/E2001	http://pygraf.t/E2001	High-degree Node Alpha
http://pygraf.t/E2002	http://pygraf.t/E2002	Central Node Beta
http://pygraf.t/E2003	http://pygraf.t/E2003	Connector Node Gamma
http://pygraf.t/E2004	http://pygraf.t/E2004	Intermediary Node Delta
http://pygraf.t/E2005	http://pygraf.t/E2005	Intermediary Node Epsilon
http://pygraf.t/E2006	http://pygraf.t/E2006	Intermediary Node Zeta
http://pygraf.t/E2007	http://pygraf.t/E2007	Intermediary Node Eta
http://pygraf.t/E2008	http://pygraf.t/E2008	Multiplex Node Theta
http://pygraf.t/E2009	http://pygraf.t/E2009	Super Node Lambda
http://pygraf.t/E2010	http://pygraf.t/E2010	Hub Peer Node
http://pygraf.t/E2011	http://pygraf.t/E2011	Multiplex Peer Node
http://pygraf.t/E2020	http://pygraf.t/E2020	C5 Node Sigma
http://pygraf.t/E2021	http://pygraf.t/E2021	C9 Node Pi
http://pygraf.t/E2022	http://pygraf.t/E2022	C9 Node Rho
http://pygraf.t/E2023	http://pygraf.t/E2023	C9 Node Tau
http://pygraf.t/E2024	http://pygraf.t/E2024	C7 Node Omega
http://pygraf.t/E2025	http://pygraf.t/E2025	C7 Peer Node
http://pygraf.t/E2030	http://pygraf.t/E2030	C4 Node Upsilon
http://pygraf.t/E2031	http://pygraf.t/E2031	C10 Node Phi
http://pygraf.t/E2040	http://pygraf.t/E2040	C1 Node Chi
http://pygraf.t/E2041	http://pygraf.t/E2041	C3 Node Psi
http://pygraf.t/E2042	http://pygraf.t/E2042	C9 Node Omega
http://pygraf.t/E2050	http://pygraf.t/E2050	C8 Node AlphaPrime
http://pygraf.t/E2051	http://pygraf.t/E2051	C6 Node BetaPrime
http://pygraf.t/E2060	http://pygraf.t/E2060	C10 Super Node
http://pygraf.t/E2061	http://pygraf.t/E2061	C4 Node SigmaPrime
http://pygraf.t/E2062	http://pygraf.t/E2062	C1 Node DeltaPrime
http://pygraf.t/E2063	http://pygraf.t/E2063	C3 Node EpsilonPrime
http://pygraf.t/E2064	http://pygraf.t/E2064	C9 Node ZetaPrime
