ID	IRI	LABEL
http://pygraf.t/C10	http://pygraf.t/C10	
http://pygraf.t/CentralNode	http://pygraf.t/CentralNode	Central Node
http://pygraf.t/ConnectorNode	http://pygraf.t/ConnectorNode	Connector Node
http://pygraf.t/E1001	http://pygraf.t/E1001	Hub Node Alpha
http://pygraf.t/E1002	http://pygraf.t/E1002	High-Degree Node Beta
http://pygraf.t/E1003	http://pygraf.t/E1003	Connector Node Gamma
http://pygraf.t/E1004	http://pygraf.t/E1004	Intermediary Node Delta
http://pygraf.t/E1005	http://pygraf.t/E1005	Multiplex Node Epsilon
http://pygraf.t/E1006	http://pygraf.t/E1006	Super Node Zeta
http://pygraf.t/E1007	http://pygraf.t/E1007	High-Degree Node Eta
http://pygraf.t/E1008	http://pygraf.t/E1008	Hub Node Theta
http://pygraf.t/E1009	http://pygraf.t/E1009	Connector Node Iota
http://pygraf.t/E1010	http://pygraf.t/E1010	Intermediary Node Kappa
http://pygraf.t/E1011	http://pygraf.t/E1011	Multiplex Node Lambda
http://pygraf.t/E1012	http://pygraf.t/E1012	Super Node Mu
http://pygraf.t/E1013	http://pygraf.t/E1013	High-Degree Node Nu
http://pygraf.t/E1014	http://pygraf.t/E1014	Hub Node Xi
http://pygraf.t/E1015	http://pygraf.t/E1015	Connector Node Omicron
http://pygraf.t/E1016	http://pygraf.t/E1016	Intermediary Node Pi
http://pygraf.t/E1017	http://pygraf.t/E1017	Multiplex Node Rho
http://pygraf.t/E1018	http://pygraf.t/E1018	Super Node Sigma
http://pygraf.t/E1019	http://pygraf.t/E1019	High-Degree Node Tau
http://pygraf.t/E1020	http://pygraf.t/E1020	Hub Node Upsilon
http://pygraf.t/E1021	http://pygraf.t/E1021	Connector Node Phi
http://pygraf.t/E1022	http://pygraf.t/E1022	Intermediary Node Chi
http://pygraf.t/E1023	http://pygraf.t/E1023	Multiplex Node Psi
http://pygraf.t/E1024	http://pygraf.t/E1024	Super Node Omega
http://pygraf.t/HighDegreeNode	http://pygraf.t/HighDegreeNode	High-Degree Node
http://pygraf.t/HubNode	http://pygraf.t/HubNode	Hub Node
http://pygraf.t/IntermediaryNode	http://pygraf.t/IntermediaryNode	Intermediary Node
http://pygraf.t/MultiplexNode	http://pygraf.t/MultiplexNode	Multiplex Node
http://pygraf.t/SuperNode	http://pygraf.t/SuperNode	Super Node
