ID	IRI	LABEL
http://pygraf.t/Association	http://pygraf.t/Association	Association
http://pygraf.t/CentralNode	http://pygraf.t/CentralNode	Central Node
http://pygraf.t/ConnectorNode	http://pygraf.t/ConnectorNode	Connector Node
http://pygraf.t/Dependency	http://pygraf.t/Dependency	Dependency
http://pygraf.t/Entity1	http://pygraf.t/Entity1	Entity 1
http://pygraf.t/Entity10	http://pygraf.t/Entity10	Entity 10
http://pygraf.t/Entity11	http://pygraf.t/Entity11	Entity 11
http://pygraf.t/Entity12	http://pygraf.t/Entity12	Entity 12
http://pygraf.t/Entity13	http://pygraf.t/Entity13	Entity 13
http://pygraf.t/Entity14	http://pygraf.t/Entity14	Entity 14
http://pygraf.t/Entity15	http://pygraf.t/Entity15	Entity 15
http://pygraf.t/Entity16	http://pygraf.t/Entity16	Entity 16
http://pygraf.t/Entity17	http://pygraf.t/Entity17	Entity 17
http://pygraf.t/Entity18	http://pygraf.t/Entity18	Entity 18
http://pygraf.t/Entity19	http://pygraf.t/Entity19	Entity 19
http://pygraf.t/Entity2	http://pygraf.t/Entity2	Entity 2
http://pygraf.t/Entity20	http://pygraf.t/Entity20	Entity 20
http://pygraf.t/Entity21	http://pygraf.t/Entity21	Entity 21
http://pygraf.t/Entity22	http://pygraf.t/Entity22	Entity 22
http://pygraf.t/Entity23	http://pygraf.t/Entity23	Entity 23
http://pygraf.t/Entity24	http://pygraf.t/Entity24	Entity 24
http://pygraf.t/Entity25	http://pygraf.t/Entity25	Entity 25
http://pygraf.t/Entity26	http://pygraf.t/Entity26	Entity 26
http://pygraf.t/Entity27	http://pygraf.t/Entity27	Entity 27
http://pygraf.t/Entity28	http://pygraf.t/Entity28	Entity 28
http://pygraf.t/Entity29	http://pygraf.t/Entity29	Entity 29
http://pygraf.t/Entity3	http://pygraf.t/Entity3	Entity 3
http://pygraf.t/Entity30	http://pygraf.t/Entity30	Entity 30
http://pygraf.t/Entity31	http://pygraf.t/Entity31	Entity 31
http://pygraf.t/Entity32	http://pygraf.t/Entity32	Entity 32
http://pygraf.t/Entity33	http://pygraf.t/Entity33	Entity 33
http://pygraf.t/Entity34	http://pygraf.t/Entity34	Entity 34
http://pygraf.t/Entity35	http://pygraf.t/Entity35	Entity 35
http://pygraf.t/Entity36	http://pygraf.t/Entity36	Entity 36
http://pygraf.t/Entity37	http://pygraf.t/Entity37	Entity 37
http://pygraf.t/Entity38	http://pygraf.t/Entity38	Entity 38
http://pygraf.t/Entity39	http://pygraf.t/Entity39	Entity 39
http://pygraf.t/Entity4	http://pygraf.t/Entity4	Entity 4
http://pygraf.t/Entity40	http://pygraf.t/Entity40	Entity 40
http://pygraf.t/Entity41	http://pygraf.t/Entity41	Entity 41
http://pygraf.t/Entity42	http://pygraf.t/Entity42	Entity 42
http://pygraf.t/Entity43	http://pygraf.t/Entity43	Entity 43
http://pygraf.t/Entity44	http://pygraf.t/Entity44	Entity 44
http://pygraf.t/Entity45	http://pygraf.t/Entity45	
http://pygraf.t/Entity46	http://pygraf.t/Entity46	
http://pygraf.t/Entity47	http://pygraf.t/Entity47	
http://pygraf.t/Entity48	http://pygraf.t/Entity48	
http://pygraf.t/Entity5	http://pygraf.t/Entity5	Entity 5
http://pygraf.t/Entity6	http://pygraf.t/Entity6	Entity 6
http://pygraf.t/Entity7	http://pygraf.t/Entity7	Entity 7
http://pygraf.t/Entity8	http://pygraf.t/Entity8	Entity 8
http://pygraf.t/Entity9	http://pygraf.t/Entity9	Entity 9
http://pygraf.t/HighDegreeNode	http://pygraf.t/HighDegreeNode	High-Degree Node
http://pygraf.t/HubNode	http://pygraf.t/HubNode	Hub Node
http://pygraf.t/IntermediaryNode	http://pygraf.t/IntermediaryNode	Intermediary Node
http://pygraf.t/Layer	http://pygraf.t/Layer	Layer
http://pygraf.t/LayerA	http://pygraf.t/LayerA	Layer A
http://pygraf.t/LayerB	http://pygraf.t/LayerB	Layer B
http://pygraf.t/LayerC	http://pygraf.t/LayerC	Layer C
http://pygraf.t/MultiplexNode	http://pygraf.t/MultiplexNode	Multiplex Node
http://pygraf.t/Node	http://pygraf.t/Node	
http://pygraf.t/RelationType	http://pygraf.t/RelationType	Relation Type
http://pygraf.t/SuperNode	http://pygraf.t/SuperNode	Super Node
