Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	http://pygraf.t/	dc:description	
ERROR	missing_ontology_title	http://pygraf.t/	dc:title	
WARN	missing_definition	Central Node	IAO:0000115	
WARN	missing_definition	Connector Node	IAO:0000115	
WARN	missing_definition	High-Degree Node	IAO:0000115	
WARN	missing_definition	Hub Node	IAO:0000115	
WARN	missing_definition	Intermediary Node	IAO:0000115	
WARN	missing_definition	Layer	IAO:0000115	
WARN	missing_definition	Multiplex Node	IAO:0000115	
WARN	missing_definition	Relation Type	IAO:0000115	
WARN	missing_definition	Super Node	IAO:0000115	
WARN	missing_definition	connects to	IAO:0000115	
WARN	missing_definition	has relation type	IAO:0000115	
WARN	missing_definition	links layer	IAO:0000115	
INFO	missing_superclass	Layer	rdfs:subClassOf	
INFO	missing_superclass	Relation Type	rdfs:subClassOf	
