ID	IRI	LABEL
http://pygraf.t/C1	http://pygraf.t/C1	
http://pygraf.t/C10	http://pygraf.t/C10	
http://pygraf.t/C2	http://pygraf.t/C2	
http://pygraf.t/C3	http://pygraf.t/C3	
http://pygraf.t/C4	http://pygraf.t/C4	
http://pygraf.t/C5	http://pygraf.t/C5	
http://pygraf.t/C6	http://pygraf.t/C6	
http://pygraf.t/C7	http://pygraf.t/C7	
http://pygraf.t/C8	http://pygraf.t/C8	
http://pygraf.t/C9	http://pygraf.t/C9	
http://pygraf.t/E2000	http://pygraf.t/E2000	Central Hub Node
http://pygraf.t/E2001	http://pygraf.t/E2001	High-degree Node
http://pygraf.t/E2002	http://pygraf.t/E2002	Central Node
http://pygraf.t/E2003	http://pygraf.t/E2003	Connector Node
http://pygraf.t/E2004	http://pygraf.t/E2004	Intermediary Node
http://pygraf.t/E2005	http://pygraf.t/E2005	Peripheral Node
http://pygraf.t/E2006	http://pygraf.t/E2006	Multiplex Node
http://pygraf.t/E2007	http://pygraf.t/E2007	Super Node
http://pygraf.t/E2008	http://pygraf.t/E2008	Connector Node (Class C7)
http://pygraf.t/E2009	http://pygraf.t/E2009	Intermediary Node (Class C7)
http://pygraf.t/E2010	http://pygraf.t/E2010	Cluster2 Node 1
http://pygraf.t/E2011	http://pygraf.t/E2011	Cluster2 Node 2
http://pygraf.t/E2012	http://pygraf.t/E2012	Cluster2 Node 3
http://pygraf.t/E2013	http://pygraf.t/E2013	Cluster2 Node 4
http://pygraf.t/E2014	http://pygraf.t/E2014	Cluster2 Node 5
http://pygraf.t/E2015	http://pygraf.t/E2015	Cluster2 Node 6
http://pygraf.t/E2016	http://pygraf.t/E2016	Multiplex Target Node
http://pygraf.t/E2020	http://pygraf.t/E2020	C4 Node
http://pygraf.t/E2021	http://pygraf.t/E2021	C10 Node
http://pygraf.t/E2030	http://pygraf.t/E2030	C1 Node
http://pygraf.t/E2031	http://pygraf.t/E2031	C3 Node
http://pygraf.t/E2040	http://pygraf.t/E2040	C6 Node
http://pygraf.t/E2050	http://pygraf.t/E2050	C8 Node
http://pygraf.t/E2060	http://pygraf.t/E2060	C10 Node Alpha
http://pygraf.t/E2061	http://pygraf.t/E2061	C10 Node Beta
http://pygraf.t/E2070	http://pygraf.t/E2070	C3 Node with R4
http://pygraf.t/E2080	http://pygraf.t/E2080	C5 Node
http://pygraf.t/E2090	http://pygraf.t/E2090	C7 Node Alpha
http://pygraf.t/E2091	http://pygraf.t/E2091	C7 Node Beta
