metric,abox_axiom_count,abox_axiom_count_incl,abox_nominals,abox_nominals_incl,annotation_property_count,annotation_property_count_incl,assert_n_subclass_avg,assert_n_subclass_avg_incl,assert_n_superclass_avg,assert_n_superclass_avg_incl,ax_complexrhs_count,ax_complexrhs_count_incl,axiom_count,axiom_count_incl,axiom_length_max,axiom_length_max_incl,axiom_type_count,axiom_type_count.1,axiom_type_count_incl,axiom_type_count_incl.1,axiom_types,axiom_types.1,axiom_types_incl,axiom_types_incl.1,certain_cycle,certain_cycle_incl,class_count,class_count_incl,class_expression_count,class_expression_count_incl,class_sgl_subcl_count,class_sgl_subcl_count_incl,curie_map,curie_map.1,curie_map.2,dataproperty_count,dataproperty_count_incl,datatypes_builtin,datatypes_builtin_incl,datatypes_count,datatypes_count_incl,dt_builtin_count,dt_builtin_count_incl,dt_notbuiltin_count,dt_notbuiltin_count_incl,expressivity,expressivity_incl,gci_count,gci_count_incl,gci_hidden_count,gci_hidden_count_incl,individual_count,individual_count_incl,instance_per_class_avg,instance_per_class_avg_incl,logical_axiom_count,logical_axiom_count_incl,most_freq_concept,most_freq_concept_incl,multiple_inheritance_count,multiple_inheritance_count_incl,named_supercl_count_max,named_supercl_count_max_incl,namespace_axiom_count,namespace_axiom_count.1,namespace_axiom_count_incl,namespace_axiom_count_incl.1,namespace_entity_count,namespace_entity_count.1,namespace_entity_count.2,namespace_entity_count.3,namespace_entity_count_incl,namespace_entity_count_incl.1,namespace_entity_count_incl.2,namespace_entity_count_incl.3,obj_property_count,obj_property_count_incl,ontology_anno_count,ontology_iri,ontology_version_iri,owl2,owl2_dl,owl2_el,owl2_ql,owl2_rl,owl2dl_profile_violation,owl2dl_profile_violation.1,rbox_axiom_count,rbox_axiom_count_incl,rdfs,rule_count,rule_count_incl,signature_entity_count,signature_entity_count_incl,syntax,tautology_count,tautology_count_incl,tbox_axiom_count,tbox_axiom_count_incl,tbox_nominals,tbox_nominals_incl,tboxrbox_axiom_count,tboxrbox_axiom_count_incl,undecl_entity_count,undecl_entity_count_incl
2025-06-16 16:10:01,19,19,False,False,11,11,0.0,0.0,1.0,1.0,0,0,122,122,2,2,AnnotationAssertion 103,ClassAssertion 19,AnnotationAssertion 103,ClassAssertion 19,AnnotationAssertion,ClassAssertion,AnnotationAssertion,ClassAssertion,False,False,7,7,Class 19,Class 19,0,0,dc http://purl.org/dc/terms/,rdfs http://www.w3.org/2000/01/rdf-schema#,xsd http://www.w3.org/2001/XMLSchema#,0,0,XSD_STRING,XSD_STRING,1,1,1,1,0,0,,,0,0,0,0,19,19,2.7142857142857144,2.7142857142857144,19,19,,,0,0,0,0,prefix_unknown 103,rdfs 38,prefix_unknown 103,rdfs 38,dc 1,prefix_unknown 34,rdfs 2,xsd 1,dc 1,prefix_unknown 34,rdfs 2,xsd 1,0,0,1,http://pygraf.t/,no.iri,True,False,False,False,False,UseOfUndeclaredAnnotationProperty 66,UseOfUndeclaredClass 19,0,0,True,0,0,38,38,Turtle,0,0,0,0,False,False,0,0,38,38
2025-06-16 16:25:01,29,29,False,False,11,11,0.0,0.0,1.0,1.0,0,0,160,160,2,2,AnnotationAssertion 131,ClassAssertion 29,AnnotationAssertion 131,ClassAssertion 29,AnnotationAssertion,ClassAssertion,AnnotationAssertion,ClassAssertion,False,False,10,10,Class 29,Class 29,0,0,dc http://purl.org/dc/terms/,rdfs http://www.w3.org/2000/01/rdf-schema#,xsd http://www.w3.org/2001/XMLSchema#,0,0,XSD_STRING,XSD_STRING,1,1,1,1,0,0,,,0,0,0,0,29,29,2.9,2.9,29,29,,,0,0,0,0,prefix_unknown 131,rdfs 58,prefix_unknown 131,rdfs 58,dc 1,prefix_unknown 47,rdfs 2,xsd 1,dc 1,prefix_unknown 47,rdfs 2,xsd 1,0,0,1,http://pygraf.t/,no.iri,True,False,False,False,False,UseOfUndeclaredAnnotationProperty 74,UseOfUndeclaredClass 29,0,0,True,0,0,51,51,Turtle,0,0,0,0,False,False,0,0,51,51
2025-06-16 16:00:02,36,36,False,False,13,13,0.0,0.0,1.0,1.0,0,0,176,176,2,2,AnnotationAssertion 140,ClassAssertion 36,AnnotationAssertion 140,ClassAssertion 36,AnnotationAssertion,ClassAssertion,AnnotationAssertion,ClassAssertion,False,False,10,10,Class 36,Class 36,0,0,dc http://purl.org/dc/terms/,rdfs http://www.w3.org/2000/01/rdf-schema#,xsd http://www.w3.org/2001/XMLSchema#,0,0,XSD_STRING,XSD_STRING,1,1,1,1,0,0,,,0,0,0,0,36,36,3.6,3.6,36,36,,,0,0,0,0,prefix_unknown 140,rdfs 72,prefix_unknown 140,rdfs 72,dc 1,prefix_unknown 56,rdfs 2,xsd 1,dc 1,prefix_unknown 56,rdfs 2,xsd 1,0,0,1,http://pygraf.t/,no.iri,True,False,False,False,False,UseOfUndeclaredAnnotationProperty 69,UseOfUndeclaredClass 36,0,0,True,0,0,60,60,Turtle,0,0,0,0,False,False,0,0,60,60
2025-06-16 16:30:02,41,41,False,False,12,12,0.0,0.0,1.0,1.0,0,0,220,220,2,2,AnnotationAssertion 179,ClassAssertion 41,AnnotationAssertion 179,ClassAssertion 41,AnnotationAssertion,ClassAssertion,AnnotationAssertion,ClassAssertion,False,False,10,10,Class 41,Class 41,0,0,dc http://purl.org/dc/terms/,rdfs http://www.w3.org/2000/01/rdf-schema#,xsd http://www.w3.org/2001/XMLSchema#,0,0,XSD_STRING,XSD_STRING,1,1,1,1,0,0,,,0,0,0,0,41,41,4.1,4.1,41,41,,,0,0,0,0,prefix_unknown 179,rdfs 82,prefix_unknown 179,rdfs 82,dc 1,prefix_unknown 60,rdfs 2,xsd 1,dc 1,prefix_unknown 60,rdfs 2,xsd 1,0,0,1,http://pygraf.t/,no.iri,True,False,False,False,False,UseOfUndeclaredAnnotationProperty 98,UseOfUndeclaredClass 41,0,0,True,0,0,64,64,Turtle,0,0,0,0,False,False,0,0,64,64
2025-06-16 16:15:01,25,25,False,False,12,12,0.0,0.0,1.0,1.0,0,0,147,147,2,2,AnnotationAssertion 122,ClassAssertion 25,AnnotationAssertion 122,ClassAssertion 25,AnnotationAssertion,ClassAssertion,AnnotationAssertion,ClassAssertion,False,False,10,10,Class 25,Class 25,0,0,dc http://purl.org/dc/terms/,rdfs http://www.w3.org/2000/01/rdf-schema#,xsd http://www.w3.org/2001/XMLSchema#,0,0,XSD_STRING,XSD_STRING,1,1,1,1,0,0,,,0,0,0,0,25,25,2.5,2.5,25,25,,,0,0,0,0,prefix_unknown 122,rdfs 50,prefix_unknown 122,rdfs 50,dc 1,prefix_unknown 44,rdfs 2,xsd 1,dc 1,prefix_unknown 44,rdfs 2,xsd 1,0,0,1,http://pygraf.t/,no.iri,True,False,False,False,False,UseOfUndeclaredAnnotationProperty 73,UseOfUndeclaredClass 25,0,0,True,0,0,48,48,Turtle,0,0,0,0,False,False,0,0,48,48
2025-06-16 16:35:01,30,30,False,False,12,12,0.0,0.0,1.0,1.0,0,0,174,174,2,2,AnnotationAssertion 144,ClassAssertion 30,AnnotationAssertion 144,ClassAssertion 30,AnnotationAssertion,ClassAssertion,AnnotationAssertion,ClassAssertion,False,False,10,10,Class 30,Class 30,0,0,dc http://purl.org/dc/terms/,rdfs http://www.w3.org/2000/01/rdf-schema#,xsd http://www.w3.org/2001/XMLSchema#,0,0,XSD_STRING,XSD_STRING,1,1,1,1,0,0,,,0,0,0,0,30,30,3.0,3.0,30,30,,,0,0,0,0,prefix_unknown 144,rdfs 60,prefix_unknown 144,rdfs 60,dc 1,prefix_unknown 49,rdfs 2,xsd 1,dc 1,prefix_unknown 49,rdfs 2,xsd 1,0,0,1,http://pygraf.t/,no.iri,True,False,False,False,False,UseOfUndeclaredAnnotationProperty 85,UseOfUndeclaredClass 30,0,0,True,0,0,53,53,Turtle,0,0,0,0,False,False,0,0,53,53
2025-06-16 16:40:02,17,17,False,False,13,13,0.0,0.0,1.0,1.0,0,0,119,119,2,2,AnnotationAssertion 102,ClassAssertion 17,AnnotationAssertion 102,ClassAssertion 17,AnnotationAssertion,ClassAssertion,AnnotationAssertion,ClassAssertion,False,False,10,10,Class 17,Class 17,0,0,dc http://purl.org/dc/terms/,rdfs http://www.w3.org/2000/01/rdf-schema#,xsd http://www.w3.org/2001/XMLSchema#,0,0,XSD_STRING,XSD_STRING,1,1,1,1,0,0,,,0,0,0,0,17,17,1.7,1.7,17,17,,,0,0,0,0,prefix_unknown 102,rdfs 34,prefix_unknown 102,rdfs 34,dc 1,prefix_unknown 37,rdfs 2,xsd 1,dc 1,prefix_unknown 37,rdfs 2,xsd 1,0,0,1,http://pygraf.t/,no.iri,True,False,False,False,False,UseOfUndeclaredAnnotationProperty 69,UseOfUndeclaredClass 17,0,0,True,0,0,41,41,Turtle,0,0,0,0,False,False,0,0,41,41
2025-06-16 16:05:02,11,11,False,False,8,8,0.0,0.0,1.0,1.0,0,0,123,123,2,2,AnnotationAssertion 112,ClassAssertion 11,AnnotationAssertion 112,ClassAssertion 11,AnnotationAssertion,ClassAssertion,AnnotationAssertion,ClassAssertion,False,False,6,6,Class 11,Class 11,0,0,dc http://purl.org/dc/terms/,rdfs http://www.w3.org/2000/01/rdf-schema#,xsd http://www.w3.org/2001/XMLSchema#,0,0,XSD_STRING,XSD_STRING,1,1,1,1,0,0,,,0,0,0,0,11,11,1.8333333333333333,1.8333333333333333,11,11,,,0,0,0,0,prefix_unknown 112,rdfs 22,prefix_unknown 112,rdfs 22,dc 1,prefix_unknown 22,rdfs 2,xsd 1,dc 1,prefix_unknown 22,rdfs 2,xsd 1,0,0,1,http://pygraf.t/,no.iri,True,False,False,False,False,UseOfUndeclaredAnnotationProperty 91,UseOfUndeclaredClass 11,0,0,True,0,0,26,26,Turtle,0,0,0,0,False,False,0,0,26,26
2025-06-16 16:20:01,14,14,False,False,11,11,0.0,0.0,1.0,1.0,0,0,94,94,2,2,AnnotationAssertion 80,ClassAssertion 14,AnnotationAssertion 80,ClassAssertion 14,AnnotationAssertion,ClassAssertion,AnnotationAssertion,ClassAssertion,False,False,10,10,Class 14,Class 14,0,0,dc http://purl.org/dc/terms/,rdfs http://www.w3.org/2000/01/rdf-schema#,xsd http://www.w3.org/2001/XMLSchema#,0,0,XSD_STRING,XSD_STRING,1,1,1,1,0,0,,,0,0,0,0,14,14,1.4,1.4,14,14,,,0,0,0,0,prefix_unknown 80,rdfs 28,prefix_unknown 80,rdfs 28,dc 1,prefix_unknown 32,rdfs 2,xsd 1,dc 1,prefix_unknown 32,rdfs 2,xsd 1,0,0,1,http://pygraf.t/,no.iri,True,False,False,False,False,UseOfUndeclaredAnnotationProperty 53,UseOfUndeclaredClass 14,0,0,True,0,0,36,36,Turtle,0,0,0,0,False,False,0,0,36,36
2025-06-16 16:45:02,36,36,False,False,9,9,0.0,0.0,1.0,1.0,0,0,210,210,2,2,AnnotationAssertion 174,ClassAssertion 36,AnnotationAssertion 174,ClassAssertion 36,AnnotationAssertion,ClassAssertion,AnnotationAssertion,ClassAssertion,False,False,6,6,Class 36,Class 36,0,0,dc http://purl.org/dc/terms/,rdfs http://www.w3.org/2000/01/rdf-schema#,xsd http://www.w3.org/2001/XMLSchema#,0,0,XSD_STRING,XSD_STRING,1,1,1,1,0,0,,,0,0,0,0,29,29,6.0,6.0,36,36,,,0,0,0,0,prefix_unknown 188,rdfs 58,prefix_unknown 188,rdfs 58,dc 1,prefix_unknown 41,rdfs 2,xsd 1,dc 1,prefix_unknown 41,rdfs 2,xsd 1,0,0,1,http://pygraf.t/,no.iri,True,False,False,False,False,UseOfUndeclaredAnnotationProperty 117,UseOfUndeclaredClass 36,0,0,True,0,0,45,45,Turtle,0,0,0,0,False,False,0,0,45,45
