ID	IRI	LABEL
http://pygraf.t/C1	http://pygraf.t/C1	
http://pygraf.t/C10	http://pygraf.t/C10	
http://pygraf.t/C2	http://pygraf.t/C2	
http://pygraf.t/C3	http://pygraf.t/C3	
http://pygraf.t/C4	http://pygraf.t/C4	
http://pygraf.t/C5	http://pygraf.t/C5	
http://pygraf.t/C6	http://pygraf.t/C6	
http://pygraf.t/C7	http://pygraf.t/C7	
http://pygraf.t/C8	http://pygraf.t/C8	
http://pygraf.t/C9	http://pygraf.t/C9	
http://pygraf.t/E100	http://pygraf.t/E100	Super Node Alpha
http://pygraf.t/E101	http://pygraf.t/E101	Hub Node Beta
http://pygraf.t/E102	http://pygraf.t/E102	High-degree Node Gamma
http://pygraf.t/E103	http://pygraf.t/E103	Central Node Delta
http://pygraf.t/E104	http://pygraf.t/E104	Connector Node Epsilon
http://pygraf.t/E105	http://pygraf.t/E105	Intermediary Node Zeta
http://pygraf.t/E106	http://pygraf.t/E106	Multiplex Node Eta
http://pygraf.t/E107	http://pygraf.t/E107	C6 Node Theta
http://pygraf.t/E108	http://pygraf.t/E108	Multiplex Node Iota
http://pygraf.t/E109	http://pygraf.t/E109	C9 Node Kappa
http://pygraf.t/E110	http://pygraf.t/E110	C10 Node Lambda
http://pygraf.t/E111	http://pygraf.t/E111	C2 Node Mu
http://pygraf.t/E112	http://pygraf.t/E112	C2 Node Nu
http://pygraf.t/E113	http://pygraf.t/E113	C9 Node Xi
http://pygraf.t/E114	http://pygraf.t/E114	C2 Node Omicron
http://pygraf.t/E115	http://pygraf.t/E115	C2 Node Pi
http://pygraf.t/E116	http://pygraf.t/E116	C3 Node Rho
http://pygraf.t/E117	http://pygraf.t/E117	C3 Node Sigma
http://pygraf.t/E118	http://pygraf.t/E118	C3 Node Tau
http://pygraf.t/E119	http://pygraf.t/E119	C1 Node Upsilon
http://pygraf.t/E120	http://pygraf.t/E120	C3 Node Phi
http://pygraf.t/E121	http://pygraf.t/E121	C10 Node Chi
http://pygraf.t/E122	http://pygraf.t/E122	C4 Node Psi
http://pygraf.t/E123	http://pygraf.t/E123	C3 Node Omega
http://pygraf.t/E124	http://pygraf.t/E124	C4 Node Alpha-2
http://pygraf.t/E125	http://pygraf.t/E125	C7 Node Beta-2
http://pygraf.t/E126	http://pygraf.t/E126	C5 Node Gamma-2
http://pygraf.t/E127	http://pygraf.t/E127	C2 Node Delta-2
http://pygraf.t/E128	http://pygraf.t/E128	C9 Node Epsilon-2
http://pygraf.t/E129	http://pygraf.t/E129	C4 Node Zeta-2
http://pygraf.t/E130	http://pygraf.t/E130	C9 Node Eta-2
http://pygraf.t/E131	http://pygraf.t/E131	C10 Node Theta-2
http://pygraf.t/E132	http://pygraf.t/E132	C9 Node Iota-2
http://pygraf.t/E133	http://pygraf.t/E133	C2 Node Kappa-2
http://pygraf.t/E134	http://pygraf.t/E134	C10 Node Lambda-2
http://pygraf.t/E135	http://pygraf.t/E135	C9 Node Mu-2
