metric,metric_value,metric_type
abox_axiom_count,14,single_value
abox_axiom_count_incl,14,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,30,single_value
annotation_property_count_incl,30,single_value
assert_n_subclass_avg,0.0,single_value
assert_n_subclass_avg_incl,0.0,single_value
assert_n_superclass_avg,1.0,single_value
assert_n_superclass_avg_incl,1.0,single_value
ax_complexrhs_count,0,single_value
ax_complexrhs_count_incl,0,single_value
axiom_count,84,single_value
axiom_count_incl,84,single_value
axiom_length_max,2,single_value
axiom_length_max_incl,2,single_value
axiom_type_count,AnnotationAssertion 64,map_value
axiom_type_count,ClassAssertion 14,map_value
axiom_type_count,ObjectPropertyDomain 3,map_value
axiom_type_count,ObjectPropertyRange 3,map_value
axiom_type_count_incl,AnnotationAssertion 64,map_value
axiom_type_count_incl,ClassAssertion 14,map_value
axiom_type_count_incl,ObjectPropertyDomain 3,map_value
axiom_type_count_incl,ObjectPropertyRange 3,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,ClassAssertion,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
certain_cycle,false,single_value
certain_cycle_incl,false,single_value
class_count,10,single_value
class_count_incl,10,single_value
class_expression_count,Class 20,map_value
class_expression_count_incl,Class 20,map_value
class_sgl_subcl_count,0,single_value
class_sgl_subcl_count_incl,0,single_value
constructs,ROLE_DOMAIN_RANGE,list_value
constructs_incl,ROLE_DOMAIN_RANGE,list_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,skos http://www.w3.org/2004/02/skos/core#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,0,single_value
dataproperty_count_incl,0,single_value
datatypes_builtin,XSD_DATE_TIME,list_value
datatypes_builtin,XSD_INTEGER,list_value
datatypes_builtin,XSD_STRING,list_value
datatypes_builtin_incl,XSD_DATE_TIME,list_value
datatypes_builtin_incl,XSD_INTEGER,list_value
datatypes_builtin_incl,XSD_STRING,list_value
datatypes_count,3,single_value
datatypes_count_incl,3,single_value
dt_builtin_count,3,single_value
dt_builtin_count_incl,3,single_value
dt_notbuiltin_count,0,single_value
dt_notbuiltin_count_incl,0,single_value
expressivity,RRESTR,single_value
expressivity_incl,RRESTR,single_value
gci_count,0,single_value
gci_count_incl,0,single_value
gci_hidden_count,0,single_value
gci_hidden_count_incl,0,single_value
individual_count,9,single_value
individual_count_incl,9,single_value
instance_per_class_avg,1.4,single_value
instance_per_class_avg_incl,1.4,single_value
logical_axiom_count,20,single_value
logical_axiom_count_incl,20,single_value
most_freq_concept,,single_value
most_freq_concept_incl,,single_value
multiple_inheritance_count,0,single_value
multiple_inheritance_count_incl,0,single_value
named_supercl_count_max,0,single_value
named_supercl_count_max_incl,0,single_value
namespace_axiom_count,prefix_unknown 69,map_value
namespace_axiom_count,rdfs 21,map_value
namespace_axiom_count,skos 9,map_value
namespace_axiom_count_incl,prefix_unknown 69,map_value
namespace_axiom_count_incl,rdfs 21,map_value
namespace_axiom_count_incl,skos 9,map_value
namespace_entity_count,prefix_unknown 46,map_value
namespace_entity_count,rdfs 3,map_value
namespace_entity_count,skos 3,map_value
namespace_entity_count,xsd 3,map_value
namespace_entity_count_incl,prefix_unknown 46,map_value
namespace_entity_count_incl,rdfs 3,map_value
namespace_entity_count_incl,skos 3,map_value
namespace_entity_count_incl,xsd 3,map_value
obj_property_count,3,single_value
obj_property_count_incl,3,single_value
ontology_anno_count,0,single_value
ontology_iri,anonymousId,single_value
ontology_version_iri,anonymousId,single_value
owl2,true,single_value
owl2_dl,false,single_value
owl2_el,false,single_value
owl2_ql,false,single_value
owl2_rl,false,single_value
owl2dl_profile_violation,UseOfUndeclaredAnnotationProperty 43,map_value
owl2dl_profile_violation,UseOfUndeclaredClass 20,map_value
owl2dl_profile_violation,UseOfUndeclaredObjectProperty 6,map_value
rbox_axiom_count,0,single_value
rbox_axiom_count_incl,0,single_value
rdfs,true,single_value
rule_count,0,single_value
rule_count_incl,0,single_value
signature_entity_count,55,single_value
signature_entity_count_incl,55,single_value
syntax,Turtle,single_value
tautology_count,0,single_value
tautology_count_incl,0,single_value
tbox_axiom_count,6,single_value
tbox_axiom_count_incl,6,single_value
tbox_nominals,false,single_value
tbox_nominals_incl,false,single_value
tboxrbox_axiom_count,6,single_value
tboxrbox_axiom_count_incl,6,single_value
undecl_entity_count,55,single_value
undecl_entity_count_incl,55,single_value
