ID	IRI	LABEL
http://pygraf.t/Central1	http://pygraf.t/Central1	Central Node Alpha
http://pygraf.t/CentralNode	http://pygraf.t/CentralNode	Central Node
http://pygraf.t/Connector1	http://pygraf.t/Connector1	Connector Node X
http://pygraf.t/ConnectorNode	http://pygraf.t/ConnectorNode	Connector Node
http://pygraf.t/HighDeg1	http://pygraf.t/HighDeg1	High Degree Node 1
http://pygraf.t/HighDegreeNode	http://pygraf.t/HighDegreeNode	High-Degree Node
http://pygraf.t/Hub1	http://pygraf.t/Hub1	Main Hub
http://pygraf.t/HubNode	http://pygraf.t/HubNode	Hub Node
http://pygraf.t/Intermediary1	http://pygraf.t/Intermediary1	Mediator Node Y
http://pygraf.t/IntermediaryNode	http://pygraf.t/IntermediaryNode	Intermediary Node
http://pygraf.t/Layer1	http://pygraf.t/Layer1	Layer 1
http://pygraf.t/Layer2	http://pygraf.t/Layer2	Layer 2
http://pygraf.t/MultiNode1	http://pygraf.t/MultiNode1	Multiplex Node Z
http://pygraf.t/MultiplexNode	http://pygraf.t/MultiplexNode	Multiplex Node
http://pygraf.t/Node	http://pygraf.t/Node	
http://pygraf.t/NodeA	http://pygraf.t/NodeA	Node A
http://pygraf.t/NodeB	http://pygraf.t/NodeB	Node B
http://pygraf.t/NodeC	http://pygraf.t/NodeC	Node C
http://pygraf.t/NodeD	http://pygraf.t/NodeD	Node D
http://pygraf.t/RelationLayer	http://pygraf.t/RelationLayer	Relation Layer
http://pygraf.t/Super1	http://pygraf.t/Super1	Super Node Omega
http://pygraf.t/SuperNode	http://pygraf.t/SuperNode	Super Node
