date,abox_axiom_count,abox_axiom_count_incl,annotation_property_count,annotation_property_count_incl,assert_n_subclass_avg,assert_n_subclass_avg_incl,assert_n_superclass_avg,assert_n_superclass_avg_incl,ax_complexrhs_count,ax_complexrhs_count_incl,axiom_count,axiom_count_incl,axiom_length_max,axiom_length_max_incl,axiom_type_count.2,axiom_type_count.3,axiom_type_count.4,axiom_type_count.5,axiom_type_count.6,axiom_type_count_incl.2,axiom_type_count_incl.3,axiom_type_count_incl.4,axiom_type_count_incl.5,axiom_type_count_incl.6,axiom_types.2,axiom_types.3,axiom_types.4,axiom_types.5,axiom_types.6,axiom_types_incl.2,axiom_types_incl.3,axiom_types_incl.4,axiom_types_incl.5,axiom_types_incl.6,class_count,class_count_incl,class_sgl_subcl_count,class_sgl_subcl_count_incl,constructs,constructs_incl,dataproperty_count,dataproperty_count_incl,datatypes_count,datatypes_count_incl,dt_builtin_count,dt_builtin_count_incl,dt_notbuiltin_count,dt_notbuiltin_count_incl,expressivity,expressivity_incl,gci_count,gci_count_incl,gci_hidden_count,gci_hidden_count_incl,individual_count,individual_count_incl,instance_per_class_avg,instance_per_class_avg_incl,logical_axiom_count,logical_axiom_count_incl,most_freq_concept,most_freq_concept_incl,multiple_inheritance_count,multiple_inheritance_count_incl,named_supercl_count_max,named_supercl_count_max_incl,obj_property_count,obj_property_count_incl,ontology_anno_count,rbox_axiom_count,rbox_axiom_count_incl,rule_count,rule_count_incl,signature_entity_count,signature_entity_count_incl,tautology_count,tautology_count_incl,tbox_axiom_count,tbox_axiom_count_incl,tboxrbox_axiom_count,tboxrbox_axiom_count_incl,undecl_entity_count,undecl_entity_count_incl
2025-06-24 17:00:02,223,223,3,3,0.7,0.7,1.0,1.0,0,0,370,370,3,3,Declaration 12,ObjectPropertyAssertion 174,ObjectPropertyDomain 3,ObjectPropertyRange 3,SubClassOf 7,Declaration 12,ObjectPropertyAssertion 174,ObjectPropertyDomain 3,ObjectPropertyRange 3,SubClassOf 7,Declaration,ObjectPropertyAssertion,ObjectPropertyDomain,ObjectPropertyRange,SubClassOf,Declaration,ObjectPropertyAssertion,ObjectPropertyDomain,ObjectPropertyRange,SubClassOf,10,10,2,2,ROLE_DOMAIN_RANGE,ROLE_DOMAIN_RANGE,0,0,1,1,1,1,0,0,RRESTR,RRESTR,0,0,0,0,53,53,4.9,4.9,236,236,http://pygraf.t/Node,http://pygraf.t/Node,0,0,1,1,3,3,1,0,0,0,0,70,70,0,0,13,13,13,13,58,58
2025-06-24 16:05:02,15,15,11,11,0.0,0.0,1.0,1.0,0,0,105,105,2,2,Declaration 7,,,,,Declaration 7,,,,,Declaration,,,,,Declaration,,,,,12,12,0,0,,,0,0,1,1,1,1,0,0,,,0,0,0,0,15,15,1.25,1.25,15,15,,,0,0,0,0,0,0,1,0,0,0,0,39,39,0,0,0,0,0,0,32,32
2025-06-24 17:30:02,25,25,13,13,0.0,0.0,1.0,1.0,0,0,131,131,2,2,Declaration 25,,,,,Declaration 25,,,,,Declaration,,,,,Declaration,,,,,10,10,0,0,,,0,0,1,1,1,1,0,0,,,0,0,0,0,25,25,2.5,2.5,25,25,,,0,0,0,0,0,0,1,0,0,0,0,49,49,0,0,0,0,0,0,24,24
2025-06-24 16:50:02,15,15,13,13,0.875,0.875,1.0,1.0,0,0,98,98,2,2,Declaration 7,SubClassOf 7,,,,Declaration 7,SubClassOf 7,,,,Declaration,SubClassOf,,,,Declaration,SubClassOf,,,,8,8,0,0,,,0,0,1,1,1,1,0,0,,,0,0,0,0,15,15,1.875,1.875,22,22,http://pygraf.t/C10,http://pygraf.t/C10,0,0,1,1,0,0,1,0,0,0,0,37,37,0,0,7,7,7,7,30,30
2025-06-24 17:05:01,10,10,4,4,0.875,0.875,1.0,1.0,0,0,85,85,2,2,Declaration 7,SubClassOf 7,,,,Declaration 7,SubClassOf 7,,,,Declaration,SubClassOf,,,,Declaration,SubClassOf,,,,8,8,0,0,,,0,0,1,1,1,1,0,0,,,0,0,0,0,10,10,1.25,1.25,17,17,http://pygraf.t/C10,http://pygraf.t/C10,0,0,1,1,0,0,1,0,0,0,0,23,23,0,0,7,7,7,7,16,16
2025-06-24 15:45:01,29,29,4,4,0.4285714285714285,0.4285714285714285,1.0,1.0,0,0,102,102,3,3,Declaration 14,ObjectPropertyAssertion 16,SubClassOf 3,,,Declaration 14,ObjectPropertyAssertion 16,SubClassOf 3,,,Declaration,ObjectPropertyAssertion,SubClassOf,,,Declaration,ObjectPropertyAssertion,SubClassOf,,,7,7,3,3,,,0,0,1,1,1,1,0,0,,,0,0,0,0,13,13,1.8571428571428568,1.8571428571428568,32,32,http://pygraf.t/SuperNode,http://pygraf.t/SuperNode,0,0,1,1,7,7,1,0,0,0,0,32,32,0,0,3,3,3,3,18,18
2025-06-24 15:35:02,10,10,4,4,0.875,0.875,1.0,1.0,0,0,75,75,2,2,Declaration 8,SubClassOf 7,,,,Declaration 8,SubClassOf 7,,,,Declaration,SubClassOf,,,,Declaration,SubClassOf,,,,8,8,0,0,,,0,0,1,1,1,1,0,0,,,0,0,0,0,10,10,1.25,1.25,17,17,http://pygraf.t/C10,http://pygraf.t/C10,0,0,1,1,1,1,1,0,0,0,0,24,24,0,0,7,7,7,7,16,16
2025-06-24 15:40:01,45,45,13,13,0.5714285714285714,0.5714285714285714,1.0,1.0,0,0,186,186,3,3,Declaration 17,ObjectPropertyAssertion 17,SubClassOf 4,,,Declaration 17,ObjectPropertyAssertion 17,SubClassOf 4,,,Declaration,ObjectPropertyAssertion,SubClassOf,,,Declaration,ObjectPropertyAssertion,SubClassOf,,,7,7,2,2,,,0,0,1,1,1,1,0,0,,,0,0,0,0,28,28,4.0,4.0,49,49,http://pygraf.t/SuperNode,http://pygraf.t/SuperNode,0,0,1,1,10,10,1,0,0,0,0,59,59,0,0,4,4,4,4,42,42
2025-06-24 16:35:01,44,44,3,3,0.7777777777777778,0.7777777777777778,1.0,1.0,0,0,108,108,3,3,Declaration 10,ObjectPropertyAssertion 31,ObjectPropertyDomain 3,ObjectPropertyRange 3,SubClassOf 7,Declaration 10,ObjectPropertyAssertion 31,ObjectPropertyDomain 3,ObjectPropertyRange 3,SubClassOf 7,Declaration,ObjectPropertyAssertion,ObjectPropertyDomain,ObjectPropertyRange,SubClassOf,Declaration,ObjectPropertyAssertion,ObjectPropertyDomain,ObjectPropertyRange,SubClassOf,9,9,2,2,ROLE_DOMAIN_RANGE,ROLE_DOMAIN_RANGE,0,0,1,1,1,1,0,0,RRESTR,RRESTR,0,0,0,0,13,13,1.4444444444444444,1.4444444444444444,57,57,http://pygraf.t/Node,http://pygraf.t/Node,0,0,1,1,3,3,1,0,0,0,0,29,29,0,0,13,13,13,13,19,19
2025-06-24 17:15:02,24,24,8,8,0.875,0.875,1.0,1.0,0,0,125,125,2,2,Declaration 7,SubClassOf 7,,,,Declaration 7,SubClassOf 7,,,,Declaration,SubClassOf,,,,Declaration,SubClassOf,,,,8,8,0,0,,,0,0,1,1,1,1,0,0,,,0,0,0,0,24,24,3.0,3.0,31,31,http://pygraf.t/C10,http://pygraf.t/C10,0,0,1,1,0,0,1,0,0,0,0,41,41,0,0,7,7,7,7,34,34
2025-06-24 17:10:02,12,12,12,12,0.875,0.875,1.0,1.0,0,0,85,85,2,2,Declaration 7,SubClassOf 7,,,,Declaration 7,SubClassOf 7,,,,Declaration,SubClassOf,,,,Declaration,SubClassOf,,,,8,8,0,0,,,0,0,1,1,1,1,0,0,,,0,0,0,0,12,12,1.5,1.5,19,19,http://pygraf.t/C10,http://pygraf.t/C10,0,0,1,1,0,0,1,0,0,0,0,33,33,0,0,7,7,7,7,26,26
2025-06-24 17:40:01,34,34,7,7,0.875,0.875,1.0,1.0,0,0,195,195,2,2,Declaration 7,SubClassOf 7,,,,Declaration 7,SubClassOf 7,,,,Declaration,SubClassOf,,,,Declaration,SubClassOf,,,,8,8,0,0,,,0,0,1,1,1,1,0,0,,,0,0,0,0,34,34,4.25,4.25,41,41,http://pygraf.t/C10,http://pygraf.t/C10,0,0,1,1,0,0,1,0,0,0,0,50,50,0,0,7,7,7,7,43,43
2025-06-24 17:45:02,100,100,7,7,0.5714285714285714,0.5714285714285714,1.0,1.0,0,0,437,437,2,2,Declaration 9,SubClassOf 4,,,,Declaration 9,SubClassOf 4,,,,Declaration,SubClassOf,,,,Declaration,SubClassOf,,,,7,7,2,2,,,0,0,1,1,1,1,0,0,,,0,0,0,0,100,100,14.285714285714286,14.285714285714286,104,104,http://pygraf.t/SuperNode,http://pygraf.t/SuperNode,0,0,1,1,2,2,1,0,0,0,0,117,117,0,0,4,4,4,4,108,108
2025-06-24 16:15:02,27,27,3,3,0.8571428571428571,0.8571428571428571,1.0,1.0,0,0,80,80,3,3,Declaration 8,ObjectPropertyAssertion 15,SubClassOf 6,,,Declaration 8,ObjectPropertyAssertion 15,SubClassOf 6,,,Declaration,ObjectPropertyAssertion,SubClassOf,,,Declaration,ObjectPropertyAssertion,SubClassOf,,,7,7,1,1,,,0,0,1,1,1,1,0,0,,,0,0,0,0,15,15,1.7142857142857142,1.7142857142857142,33,33,http://pygraf.t/SuperNode,http://pygraf.t/SuperNode,0,0,1,1,1,1,1,0,0,0,0,27,27,0,0,6,6,6,6,19,19
2025-06-24 16:25:02,30,30,4,4,0.5714285714285714,0.5714285714285714,1.0,1.0,0,0,174,174,2,2,Declaration 7,SubClassOf 4,,,,Declaration 7,SubClassOf 4,,,,Declaration,SubClassOf,,,,Declaration,SubClassOf,,,,7,7,2,2,,,0,0,1,1,1,1,0,0,,,0,0,0,0,30,30,4.285714285714286,4.285714285714286,34,34,http://pygraf.t/SuperNode,http://pygraf.t/SuperNode,0,0,1,1,0,0,1,0,0,0,0,42,42,0,0,4,4,4,4,35,35
2025-06-24 16:30:02,34,34,3,3,0.8571428571428571,0.8571428571428571,1.0,1.0,0,0,87,87,3,3,Declaration 11,ObjectPropertyAssertion 24,SubClassOf 6,,,Declaration 11,ObjectPropertyAssertion 24,SubClassOf 6,,,Declaration,ObjectPropertyAssertion,SubClassOf,,,Declaration,ObjectPropertyAssertion,SubClassOf,,,7,7,1,1,,,0,0,1,1,1,1,0,0,,,0,0,0,0,10,10,1.4285714285714286,1.4285714285714286,40,40,http://pygraf.t/SuperNode,http://pygraf.t/SuperNode,0,0,1,1,4,4,1,0,0,0,0,25,25,0,0,6,6,6,6,14,14
2025-06-24 16:10:02,18,18,10,10,0.0,0.0,1.0,1.0,0,0,88,88,2,2,,,,,,,,,,,,,,,,,,,,,5,5,0,0,,,0,0,1,1,1,1,0,0,,,0,0,0,0,17,17,3.6,3.6,18,18,,,0,0,0,0,0,0,1,0,0,0,0,33,33,0,0,0,0,0,0,33,33
2025-06-24 17:25:02,36,36,3,3,0.5714285714285714,0.5714285714285714,1.0,1.0,0,0,99,99,3,3,Declaration 13,ObjectPropertyAssertion 26,SubClassOf 4,,,Declaration 13,ObjectPropertyAssertion 26,SubClassOf 4,,,Declaration,ObjectPropertyAssertion,SubClassOf,,,Declaration,ObjectPropertyAssertion,SubClassOf,,,7,7,2,2,,,0,0,1,1,1,1,0,0,,,0,0,0,0,12,12,1.4285714285714286,1.4285714285714286,40,40,http://pygraf.t/SuperNode,http://pygraf.t/SuperNode,0,0,1,1,6,6,1,0,0,0,0,29,29,0,0,4,4,4,4,16,16
2025-06-24 16:55:02,34,34,3,3,0.7777777777777778,0.7777777777777778,1.0,1.0,0,0,121,121,3,3,Declaration 14,ObjectPropertyAssertion 21,ObjectPropertyDomain 6,ObjectPropertyRange 6,SubClassOf 7,Declaration 14,ObjectPropertyAssertion 21,ObjectPropertyDomain 6,ObjectPropertyRange 6,SubClassOf 7,Declaration,ObjectPropertyAssertion,ObjectPropertyDomain,ObjectPropertyRange,SubClassOf,Declaration,ObjectPropertyAssertion,ObjectPropertyDomain,ObjectPropertyRange,SubClassOf,9,9,2,2,ROLE_DOMAIN_RANGE,ROLE_DOMAIN_RANGE,0,0,1,1,1,1,0,0,RRESTR,RRESTR,0,0,0,0,13,13,1.4444444444444444,1.4444444444444444,53,53,http://pygraf.t/Node,http://pygraf.t/Node,0,0,1,1,6,6,1,0,0,0,0,32,32,0,0,19,19,19,19,18,18
2025-06-24 15:30:02,28,28,9,9,0.875,0.875,1.0,1.0,0,0,160,160,2,2,Declaration 7,SubClassOf 7,,,,Declaration 7,SubClassOf 7,,,,Declaration,SubClassOf,,,,Declaration,SubClassOf,,,,8,8,0,0,,,0,0,1,1,1,1,0,0,,,0,0,0,0,28,28,3.5,3.5,35,35,http://pygraf.t/C10,http://pygraf.t/C10,0,0,1,1,0,0,1,0,0,0,0,46,46,0,0,7,7,7,7,39,39
2025-06-24 16:40:01,20,20,4,4,0.2857142857142857,0.2857142857142857,1.0,1.0,0,0,120,120,3,3,Declaration 17,ObjectPropertyAssertion 7,SubClassOf 2,,,Declaration 17,ObjectPropertyAssertion 7,SubClassOf 2,,,Declaration,ObjectPropertyAssertion,SubClassOf,,,Declaration,ObjectPropertyAssertion,SubClassOf,,,7,7,2,2,,,0,0,1,1,1,1,0,0,,,0,0,0,0,13,13,1.8571428571428568,1.8571428571428568,22,22,http://pygraf.t/SuperNode,http://pygraf.t/SuperNode,0,0,1,1,10,10,1,0,0,0,0,35,35,0,0,2,2,2,2,18,18
2025-06-24 16:45:02,106,106,3,3,0.8571428571428571,0.8571428571428571,1.0,1.0,0,0,179,179,3,3,Declaration 8,ObjectPropertyAssertion 71,SubClassOf 6,,,Declaration 8,ObjectPropertyAssertion 71,SubClassOf 6,,,Declaration,ObjectPropertyAssertion,SubClassOf,,,Declaration,ObjectPropertyAssertion,SubClassOf,,,7,7,1,1,,,0,0,1,1,1,1,0,0,,,0,0,0,0,37,37,5.0,5.0,112,112,http://pygraf.t/SuperNode,http://pygraf.t/SuperNode,0,0,1,1,1,1,1,0,0,0,0,49,49,0,0,6,6,6,6,41,41
2025-06-24 15:55:02,35,35,3,3,0.7142857142857143,0.7142857142857143,1.0,1.0,0,0,88,88,3,3,Declaration 10,ObjectPropertyAssertion 26,SubClassOf 5,,,Declaration 10,ObjectPropertyAssertion 26,SubClassOf 5,,,Declaration,ObjectPropertyAssertion,SubClassOf,,,Declaration,ObjectPropertyAssertion,SubClassOf,,,7,7,1,1,,,0,0,1,1,1,1,0,0,,,0,0,0,0,10,10,1.2857142857142858,1.2857142857142858,40,40,http://pygraf.t/SuperNode,http://pygraf.t/SuperNode,0,0,1,1,3,3,1,0,0,0,0,24,24,0,0,5,5,5,5,14,14
2025-06-24 16:00:01,60,60,3,3,0.8571428571428571,0.8571428571428571,1.0,1.0,0,0,129,129,3,3,Declaration 10,ObjectPropertyAssertion 43,SubClassOf 6,,,Declaration 10,ObjectPropertyAssertion 43,SubClassOf 6,,,Declaration,ObjectPropertyAssertion,SubClassOf,,,Declaration,ObjectPropertyAssertion,SubClassOf,,,7,7,1,1,,,0,0,1,1,1,1,0,0,,,0,0,0,0,17,17,2.4285714285714284,2.4285714285714284,66,66,http://pygraf.t/SuperNode,http://pygraf.t/SuperNode,0,0,1,1,3,3,1,0,0,0,0,31,31,0,0,6,6,6,6,21,21
