Level	Rule Name	Subject	Property	Value
ERROR	duplicate_label	Relation R10	rdfs:label	Relation R4
ERROR	duplicate_label	Node E1007	rdfs:label	Relation R4
ERROR	duplicate_label	Node E1003	rdfs:label	Relation R3
ERROR	duplicate_label	Node E1006	rdfs:label	Relation R3
ERROR	duplicate_label	Node E1002	rdfs:label	Relation R2
ERROR	duplicate_label	Node E1005	rdfs:label	Relation R2
ERROR	missing_ontology_description	http://pygraf.t/	dc:description	
ERROR	missing_ontology_title	http://pygraf.t/	dc:title	
ERROR	multiple_labels	Node E1001	rdfs:label	Node E1001
ERROR	multiple_labels	Node E1001	rdfs:label	Relation R1
ERROR	multiple_labels	Node E1002	rdfs:label	Node E1002
ERROR	multiple_labels	Node E1002	rdfs:label	Relation R2
ERROR	multiple_labels	Node E1002	rdfs:label	Relation R8
ERROR	multiple_labels	Node E1003	rdfs:label	Node E1003
ERROR	multiple_labels	Node E1003	rdfs:label	Relation R3
ERROR	multiple_labels	Node E1003	rdfs:label	Relation R9
ERROR	multiple_labels	Relation R10	rdfs:label	Node E1004
ERROR	multiple_labels	Relation R10	rdfs:label	Relation R10
ERROR	multiple_labels	Relation R10	rdfs:label	Relation R4
ERROR	multiple_labels	Node E1005	rdfs:label	Node E1005
ERROR	multiple_labels	Node E1005	rdfs:label	Relation R2
ERROR	multiple_labels	Node E1005	rdfs:label	Relation R5
ERROR	multiple_labels	Node E1006	rdfs:label	Node E1006
ERROR	multiple_labels	Node E1006	rdfs:label	Relation R3
ERROR	multiple_labels	Node E1006	rdfs:label	Relation R6
ERROR	multiple_labels	Node E1007	rdfs:label	Node E1007
ERROR	multiple_labels	Node E1007	rdfs:label	Relation R4
ERROR	multiple_labels	Node E1007	rdfs:label	Relation R7
WARN	missing_definition	Central Node	IAO:0000115	
WARN	missing_definition	Connector Node	IAO:0000115	
WARN	missing_definition	High-Degree Node	IAO:0000115	
WARN	missing_definition	Hub Node	IAO:0000115	
WARN	missing_definition	Intermediary Node	IAO:0000115	
WARN	missing_definition	Multiplex Node	IAO:0000115	
WARN	missing_definition	Super Node	IAO:0000115	
INFO	missing_superclass	Intermediary Node	rdfs:subClassOf	
INFO	missing_superclass	Multiplex Node	rdfs:subClassOf	
INFO	missing_superclass	Super Node	rdfs:subClassOf	
