Level	Rule Name	Subject	Property	Value
ERROR	duplicate_label	Core Module	rdfs:label	relates to
ERROR	duplicate_label	Entity of Class C2	rdfs:label	relates to
ERROR	duplicate_label	Subgraph Connector	rdfs:label	relates to
ERROR	duplicate_label	Global Network Hub	rdfs:label	connects to
ERROR	duplicate_label	Subgraph Hub	rdfs:label	connects to
ERROR	missing_ontology_description	http://pygraf.t/	dc:description	
ERROR	missing_ontology_title	http://pygraf.t/	dc:title	
ERROR	multiple_labels	Global Network Hub	rdfs:label	Global Network Hub
ERROR	multiple_labels	Global Network Hub	rdfs:label	connects to
ERROR	multiple_labels	links with	rdfs:label	Major Actor
ERROR	multiple_labels	links with	rdfs:label	links with
ERROR	multiple_labels	Core Module	rdfs:label	Core Module
ERROR	multiple_labels	Core Module	rdfs:label	relates to
ERROR	multiple_labels	bridges	rdfs:label	Bridge Entity
ERROR	multiple_labels	bridges	rdfs:label	bridges
ERROR	multiple_labels	mediates	rdfs:label	Mediator Entity
ERROR	multiple_labels	mediates	rdfs:label	mediates
ERROR	multiple_labels	Multi-role Entity	rdfs:label	Multi-role Entity
ERROR	multiple_labels	Multi-role Entity	rdfs:label	participates in
ERROR	multiple_labels	Composite Entity	rdfs:label	Composite Entity
ERROR	multiple_labels	Composite Entity	rdfs:label	encompasses
ERROR	multiple_labels	Entity of Class C4	rdfs:label	Entity of Class C4
ERROR	multiple_labels	Entity of Class C4	rdfs:label	interacts with
ERROR	multiple_labels	Entity of Class C2	rdfs:label	Entity of Class C2
ERROR	multiple_labels	Entity of Class C2	rdfs:label	relates to
ERROR	multiple_labels	Entity of Class C3	rdfs:label	Entity of Class C3
ERROR	multiple_labels	Entity of Class C3	rdfs:label	related by
ERROR	multiple_labels	Subgraph Hub	rdfs:label	Subgraph Hub
ERROR	multiple_labels	Subgraph Hub	rdfs:label	connects to
ERROR	multiple_labels	links	rdfs:label	Subgraph High-Degree
ERROR	multiple_labels	links	rdfs:label	links
ERROR	multiple_labels	Subgraph Connector	rdfs:label	Subgraph Connector
ERROR	multiple_labels	Subgraph Connector	rdfs:label	relates to
WARN	missing_definition	Central Node	IAO:0000115	
WARN	missing_definition	Connector Node	IAO:0000115	
WARN	missing_definition	High-Degree Node	IAO:0000115	
WARN	missing_definition	Hub Node	IAO:0000115	
WARN	missing_definition	Intermediary Node	IAO:0000115	
WARN	missing_definition	Multiplex Node	IAO:0000115	
WARN	missing_definition	Super Node	IAO:0000115	
INFO	missing_superclass	Central Node	rdfs:subClassOf	
INFO	missing_superclass	Connector Node	rdfs:subClassOf	
INFO	missing_superclass	High-Degree Node	rdfs:subClassOf	
INFO	missing_superclass	Hub Node	rdfs:subClassOf	
INFO	missing_superclass	Intermediary Node	rdfs:subClassOf	
INFO	missing_superclass	Multiplex Node	rdfs:subClassOf	
INFO	missing_superclass	Super Node	rdfs:subClassOf	
