Object is a BN : n1f0d201fa5fb488b96dd612631ed306cb6, pred https://w3id.org/noria/ontology/networkInterfaceAdministrativeStatus, subject http://example.com/data/Eth0WebServerProd01, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-48_Noria.ttl
Subject is a BN : n1f0d201fa5fb488b96dd612631ed306cb16, pred http://www.w3.org/2000/01/rdf-schema#label, object Major, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-48_Noria.ttl
Object is a BN : n1f0d201fa5fb488b96dd612631ed306cb11, pred https://w3id.org/noria/ontology/applicationBusinessImportance, subject http://example.com/data/CustomerPortalApp, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-48_Noria.ttl
Object is a BN : n1f0d201fa5fb488b96dd612631ed306cb4, pred https://w3id.org/noria/ontology/resourceType, subject http://example.com/data/CoreRouter01, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-48_Noria.ttl
Subject is a BN : n1f0d201fa5fb488b96dd612631ed306cb2, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/Resource/type, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-48_Noria.ttl
Subject is a BN : n1f0d201fa5fb488b96dd612631ed306cb12, pred http://www.w3.org/2004/02/skos/core#inScheme, object https://w3id.org/noria/kos/application/sla-level, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-48_Noria.ttl
Object is a BN : n1f0d201fa5fb488b96dd612631ed306cb3, pred https://w3id.org/noria/ontology/resourceUsageState, subject http://example.com/data/WebServerProd01, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-48_Noria.ttl
Object is a BN : n1f0d201fa5fb488b96dd612631ed306cb22, pred https://w3id.org/noria/ontology/troubleTicketNoteOperationType, subject http://example.com/data/TroubleTicketNote005_1, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-48_Noria.ttl
Object is a BN : n1f0d201fa5fb488b96dd612631ed306cb25, pred https://w3id.org/noria/ontology/changeRequestChangeCause, subject http://example.com/data/ChangeRequest010, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-48_Noria.ttl
Subject is a BN : n1f0d201fa5fb488b96dd612631ed306cb13, pred http://www.w3.org/2000/01/rdf-schema#label, object In Production, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-48_Noria.ttl
Subject is a BN : n1f0d201fa5fb488b96dd612631ed306cb14, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/service/type, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-48_Noria.ttl
Subject is a BN : n1f0d201fa5fb488b96dd612631ed306cb8, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/Resource/AdministrativeState, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-48_Noria.ttl
Subject is a BN : n1f0d201fa5fb488b96dd612631ed306cb18, pred http://www.w3.org/2000/01/rdf-schema#label, object P2, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-48_Noria.ttl
