2026-01-12 17:24:31,864 - INFO - ##################################################
2026-01-12 17:24:31,864 - INFO - Knowledge Graph : 4_1_AI_enhance_manually_2025-12-16_15-39-26_Noria.ttl
2026-01-12 17:24:31,864 - INFO - Number of Nodes : 461
2026-01-12 17:24:31,864 - INFO - Number of edges : 579
2026-01-12 17:24:31,864 - INFO - cumulative number of nodes : 461
2026-01-12 17:24:31,865 - INFO - degree_histogram : [0, 345, 22, 15, 14, 17, 2, 10, 6, 5, 4, 0, 1, 4, 1, 4, 3, 1, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]
2026-01-12 17:24:31,865 - INFO - number of self loop : 0
2026-01-12 17:24:31,865 - INFO - ####  KPIs ####
2026-01-12 17:24:31,865 - INFO - DiGraph density : 0.0027303593322644533
2026-01-12 17:24:31,866 - INFO - cumulative density : 0.0027303593322644533
2026-01-12 17:24:31,867 - INFO - Average degree connectivity : {23: 1.9565217391304348, 1: 0.0, 16: 2.8125, 10: 3.025, 22: 3.75, 8: 5.333333333333333, 15: 3.033333333333333, 19: 4.7894736842105265, 5: 2.3411764705882354, 28: 5.0, 4: 1.7857142857142858, 33: 4.303030303030303, 9: 5.7555555555555555, 7: 4.614285714285714, 2: 0.0, 3: 0.6888888888888889, 18: 2.3333333333333335, 12: 3.5833333333333335, 13: 4.25, 14: 3.642857142857143, 6: 3.1666666666666665, 17: 3.3529411764705883}
2026-01-12 17:24:31,868 - INFO - #### Subject, Object, predicate ####
2026-01-12 17:24:31,868 - INFO - RouterCore01,Core Router 01,{'label': 'label', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-12 17:24:31,868 - INFO - RouterCore01,Rack01U05,{'label': 'locatedAtLocus', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-12 17:24:31,868 - INFO - RouterCore01,Router,{'label': 'resourceType', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-12 17:24:31,868 - INFO - RouterCore01,2021-06-01T09:00:00+00:00,{'label': 'resourceInstallationDate', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-12 17:24:31,868 - INFO - RouterCore01,Main router for the TechCorp internal network.,{'label': 'comment', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-12 17:24:31,868 - INFO - RouterCore01,CiscoCatalyst9300,{'label': 'resourceProductModel', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-12 17:24:31,868 - INFO - RouterCore01,NetworkTeam,{'label': 'resourceManagedBy', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-12 17:24:31,868 - INFO - RouterCore01,routercore01.techcorp.com,{'label': 'resourceHostName', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-12 17:24:31,868 - INFO - RouterCore01,InProduction,{'label': 'resourceUsageState', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-12 17:24:31,868 - INFO - RouterCore01,TC-RTR-CORE-01,{'label': 'resourceLogisticId', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-12 17:24:31,868 - INFO - RouterCore01,observable#IPAddress10_0_0_1,{'label': 'resourceManagementIPAddress', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-12 17:24:31,868 - INFO - RouterCore01,SN-RTR-C01-DEF,{'label': 'resourceSerialNumber', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-12 17:24:31,868 - INFO - CRMSystem,Customer Relationship Management System,{'label': 'label', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-12 17:24:31,868 - INFO - CRMSystem,CRM,{'label': 'applicationShortIdentifier', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-12 17:24:31,868 - INFO - CRMSystem,BusinessApplication,{'label': 'applicationType', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-12 17:24:31,868 - INFO - CRMSystem,1001,{'label': 'applicationNumericalIdentifier', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-12 17:24:31,868 - INFO - CRMSystem,Core application for managing customer interaction...,{'label': 'comment', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-12 17:24:31,868 - INFO - CRMSystem,CRM-APP-V3,{'label': 'applicationModelIdentifier', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-12 17:24:31,868 - INFO - CRMSystem,High,{'label': 'applicationBusinessImportance', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-12 17:24:31,868 - INFO - CRMSystem,Système de Gestion de la Relation Client,{'label': 'label', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-12 17:24:31,868 - INFO - CRMSystem,Customer Relationship Management,{'label': 'applicationFunctionalDomain', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-12 17:24:31,868 - INFO - CRMSystem,Sales & Support,{'label': 'applicationFunctionalSubDomain', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-12 17:24:31,868 - INFO - ERPSuite,1003,{'label': 'applicationNumericalIdentifier', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-12 17:24:31,868 - INFO - ERPSuite,Integrated software suite for managing business pr...,{'label': 'comment', 'edge_type': 'entity_to_literal', 'width': 1}
