2026-01-16 15:03:04,818 - INFO - ##################################################
2026-01-16 15:03:04,818 - INFO - Knowledge Graph : /home/piod7321/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2026-01-15/vertex_ai/gemini-2.5-flash/KO/4_1_AI_enhance_manually_2026-01-15_09-59-30_Noria.ttl
2026-01-16 15:03:04,819 - INFO - Number of Nodes : 95
2026-01-16 15:03:04,819 - INFO - Number of edges : 157
2026-01-16 15:03:04,819 - INFO - cumulative number of nodes : 95
2026-01-16 15:03:04,820 - INFO - degree_histogram : [0, 37, 19, 8, 13, 3, 2, 3, 1, 2, 1, 2, 2, 0, 0, 0, 1, 1]
2026-01-16 15:03:04,820 - INFO - number of self loop : 0
2026-01-16 15:03:04,820 - INFO - ####  KPIs ####
2026-01-16 15:03:04,820 - INFO - DiGraph density : 0.017581187010078388
2026-01-16 15:03:04,820 - INFO - cumulative density : 0.017581187010078388
2026-01-16 15:03:04,821 - INFO - Average degree connectivity : {4: 4.9423076923076925, 1: 0.35135135135135137, 16: 0.125, 17: 3.8823529411764706, 2: 1.868421052631579, 7: 1.380952380952381, 3: 2.9166666666666665, 9: 3.5, 12: 3.0416666666666665, 11: 3.272727272727273, 6: 2.75, 10: 4.2, 8: 3.625, 5: 6.066666666666666}
2026-01-16 15:03:04,822 - INFO - #### Subject, Object, predicate ####
2026-01-16 15:03:04,822 - INFO - Application_ConfigManagement,medium,{'label': 'applicationBusinessImportance', 'color': 'white', 'width': 1}
2026-01-16 15:03:04,822 - INFO - Application_ConfigManagement,service-platform,{'label': 'applicationType', 'color': 'white', 'width': 1}
2026-01-16 15:03:04,822 - INFO - Application_ConfigManagement,Agent_NetOpsTeam,{'label': 'resourceManagedBy', 'color': 'white', 'width': 1}
2026-01-16 15:03:04,822 - INFO - TroubleTicketNote_DNSDiag,Agent_NetOpsTeam,{'label': 'creator', 'color': 'white', 'width': 1}
2026-01-16 15:03:04,822 - INFO - TroubleTicketNote_DNSDiag,Diagnosis,{'label': 'troubleTicketNoteOperationType', 'color': 'white', 'width': 1}
2026-01-16 15:03:04,822 - INFO - TroubleTicketNote_DNSDiag,Internal,{'label': 'troubleTicketNoteCommentType', 'color': 'white', 'width': 1}
2026-01-16 15:03:04,822 - INFO - TroubleTicketNote_DNSDiag,TroubleTicket_DNSOutage,{'label': 'isPartOf', 'color': 'white', 'width': 1}
2026-01-16 15:03:04,822 - INFO - Agent_NetOpsTeam,Phone,{'label': 'agentPreferredContactMethod', 'color': 'white', 'width': 1}
2026-01-16 15:03:04,822 - INFO - TroubleTicket_DNSOutage,Agent_NetOpsTeam,{'label': 'troubleTicketRelatedParty', 'color': 'white', 'width': 1}
2026-01-16 15:03:04,822 - INFO - TroubleTicket_DNSOutage,ManagedBackboneNetworks,{'label': 'problemResponsibility', 'color': 'white', 'width': 1}
2026-01-16 15:03:04,822 - INFO - TroubleTicket_DNSOutage,InterruptedService,{'label': 'troubleTicketCategory', 'color': 'white', 'width': 1}
2026-01-16 15:03:04,822 - INFO - TroubleTicket_DNSOutage,Resource_DNS01,{'label': 'troubleTicketRelatedResource', 'color': 'white', 'width': 1}
