2026-01-27 09:27:25,744 - INFO - ##################################################
2026-01-27 09:27:25,744 - INFO - Knowledge Graph : /home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2026-01-19/vertex_ai/gemini-2.5-flash/4_1_AI_enhance_manually_2026-01-19_16-48-08_Noria.ttl
2026-01-27 09:27:25,744 - INFO - Number of Nodes : 381
2026-01-27 09:27:25,745 - INFO - Number of edges : 489
2026-01-27 09:27:25,745 - INFO - cumulative number of nodes : 381
2026-01-27 09:27:25,745 - INFO - degree_histogram : [0, 268, 24, 19, 16, 7, 8, 9, 5, 6, 3, 0, 4, 1, 1, 2, 0, 1, 2, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]
2026-01-27 09:27:25,745 - INFO - number of self loop : 14
2026-01-27 09:27:25,745 - INFO - ####  KPIs ####
2026-01-27 09:27:25,745 - INFO - DiGraph density : 0.0033775383340240365
2026-01-27 09:27:25,746 - INFO - cumulative density : 0.0033775383340240365
2026-01-27 09:27:25,747 - INFO - Average degree connectivity : {4: 1.359375, 1: 0.0037313432835820895, 7: 4.873015873015873, 18: 3.7777777777777777, 19: 5.0, 29: 3.586206896551724, 2: 0.4375, 13: 3.4615384615384617, 17: 0.4117647058823529, 25: 3.8, 3: 0.5614035087719298, 6: 2.9166666666666665, 12: 3.5625, 8: 4.575, 5: 2.657142857142857, 15: 3.9, 10: 3.6333333333333333, 9: 3.8518518518518516, 14: 2.7142857142857144, 20: 2.175}
2026-01-27 09:27:25,747 - INFO - #### Subject, Object, predicate ####
2026-01-27 09:27:25,747 - INFO - OperationPlan_RouterFailover,Standard operating procedure for initiating a fail...,{'label': 'comment', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,747 - INFO - OperationPlan_RouterFailover,PreCondition_HighTrafficLoss,{'label': 'operationPlanPreCondition', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,747 - INFO - OperationPlan_RouterFailover,Core Router Failover Procedure,{'label': 'label', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,747 - INFO - OperationPlan_RouterFailover,PostCondition_TrafficRestored,{'label': 'operationPlanPostCondition', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,747 - INFO - Service_CorporateInternetAccess,Application_EnterprisePortal,{'label': 'subSystemOf', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,747 - INFO - Service_CorporateInternetAccess,Agent1,{'label': 'resourceManagedBy', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,747 - INFO - Service_CorporateInternetAccess,Application_MonitoringSystem,{'label': 'subSystemOf', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,747 - INFO - Service_CorporateInternetAccess,CustomerFacingService,{'label': 'serviceType', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,747 - INFO - Service_CorporateInternetAccess,Corporate Internet Access Service,{'label': 'label', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,747 - INFO - Service_CorporateInternetAccess,Provides internet connectivity for all corporate u...,{'label': 'comment', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,747 - INFO - Application_EnterprisePortal,Resource_VirtualMachine_Web01,{'label': 'resourceForApplication', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,747 - INFO - Application_EnterprisePortal,Resource_AppServer_01,{'label': 'resourceForApplication', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,747 - INFO - Application_EnterprisePortal,Employee Self-Service,{'label': 'applicationFunctionalSubDomain', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,747 - INFO - Application_EnterprisePortal,Customer Relationship Management,{'label': 'applicationFunctionalDomain', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,747 - INFO - Application_EnterprisePortal,Resource_DBServer_01,{'label': 'resourceForApplication', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,747 - INFO - Application_EnterprisePortal,high,{'label': 'applicationBusinessImportance', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,747 - INFO - Application_EnterprisePortal,Agent3,{'label': 'resourceManagedBy', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,747 - INFO - Application_EnterprisePortal,Enterprise Portal,{'label': 'label', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,747 - INFO - Application_EnterprisePortal,business-critical,{'label': 'applicationType', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,747 - INFO - Application_EnterprisePortal,EP-V2.0,{'label': 'applicationModelIdentifier', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,747 - INFO - Application_EnterprisePortal,EP,{'label': 'applicationShortIdentifier', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,747 - INFO - Application_EnterprisePortal,1001,{'label': 'applicationNumericalIdentifier', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,747 - INFO - Application_EnterprisePortal,Web-based portal for internal corporate services.,{'label': 'comment', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,747 - INFO - ChangeRequest_001,Standard,{'label': 'changeRequestType', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,747 - INFO - ChangeRequest_001,Agent6,{'label': 'changeRequestInitiatorParty', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,747 - INFO - ChangeRequest_001,Agent1,{'label': 'changeRequestPilotParty', 'edge_type': 'entity_to_entity'}
2026-01-27 09:27:25,747 - INFO - ChangeRequest_001,2024-05-01T02:00:00+00:00,{'label': 'changeRequestPlannedStartTime', 'edge_type': 'entity_to_literal'}
2026-01-27 09:27:25,747 - INFO - ChangeRequest_001,EventRecord_WebVM01_ConfigChange,{'label': 'documentStatusHistory', 'edge_type': 'entity_to_entity'}
