2026-02-02 16:00:14,578 - INFO - ##################################################
2026-02-02 16:00:14,578 - INFO - Knowledge Graph : /home/piod7321/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2026-02-02/vertex_ai/gemini-2.5-flash/4_1_AI_enhance_manually_2026-02-02_14-22-02_Noria.ttl
2026-02-02 16:00:14,578 - INFO - Number of Nodes : 571
2026-02-02 16:00:14,579 - INFO - Number of edges : 764
2026-02-02 16:00:14,579 - INFO - cumulative number of nodes : 571
2026-02-02 16:00:14,579 - INFO - degree_histogram : [0, 413, 26, 21, 21, 14, 8, 9, 21, 10, 3, 3, 1, 3, 1, 2, 1, 3, 1, 2, 1, 0, 2, 0, 0, 3, 0, 1, 0, 0, 1]
2026-02-02 16:00:14,579 - INFO - number of self loop : 0
2026-02-02 16:00:14,579 - INFO - ####  KPIs ####
2026-02-02 16:00:14,579 - INFO - DiGraph density : 0.0023473745660122286
2026-02-02 16:00:14,580 - INFO - cumulative density : 0.0023473745660122286
2026-02-02 16:00:14,582 - INFO - Average degree connectivity : {8: 4.916666666666667, 1: 0.009685230024213076, 17: 1.9803921568627452, 7: 4.619047619047619, 22: 2.659090909090909, 2: 0.21153846153846154, 20: 5.7, 3: 2.4285714285714284, 9: 6.966666666666667, 10: 2.1, 13: 3.2564102564102564, 5: 0.6, 25: 4.746666666666667, 11: 4.0606060606060606, 30: 4.5, 27: 2.4814814814814814, 15: 0.7, 18: 5.111111111111111, 19: 4.184210526315789, 4: 1.9642857142857142, 6: 0.5208333333333334, 14: 4.0, 12: 5.833333333333333, 16: 4.6875}
2026-02-02 16:00:14,582 - INFO - #### Subject, Object, predicate ####
2026-02-02 16:00:14,582 - INFO - bot#Site_HQ_Datacenter,data center,{'label': 'siteType', 'edge_type': 'entity_to_literal'}
2026-02-02 16:00:14,582 - INFO - bot#Site_HQ_Datacenter,Headquarters Datacenter,{'label': 'label', 'edge_type': 'entity_to_literal'}
2026-02-02 16:00:14,582 - INFO - bot#Site_HQ_Datacenter,US,{'label': 'sitePrincipalAddressCountry', 'edge_type': 'entity_to_literal'}
2026-02-02 16:00:14,582 - INFO - bot#Site_HQ_Datacenter,Main datacenter located at the company headquarter...,{'label': 'comment', 'edge_type': 'entity_to_literal'}
2026-02-02 16:00:14,582 - INFO - bot#Site_HQ_Datacenter,10001,{'label': 'sitePrincipalAddressPostalCode', 'edge_type': 'entity_to_literal'}
2026-02-02 16:00:14,582 - INFO - bot#Site_HQ_Datacenter,123 Main Street,{'label': 'sitePrincipalAddress', 'edge_type': 'entity_to_literal'}
2026-02-02 16:00:14,582 - INFO - bot#Site_HQ_Datacenter,HQDC01,{'label': 'siteId', 'edge_type': 'entity_to_literal'}
2026-02-02 16:00:14,582 - INFO - bot#Site_HQ_Datacenter,Metropolis,{'label': 'sitePrincipalAddressCityName', 'edge_type': 'entity_to_literal'}
2026-02-02 16:00:14,582 - INFO - Application_CustomerPortal,CP-APP,{'label': 'applicationModelIdentifier', 'edge_type': 'entity_to_literal'}
2026-02-02 16:00:14,582 - INFO - Application_CustomerPortal,Self-Service Portal,{'label': 'applicationFunctionalSubDomain', 'edge_type': 'entity_to_literal'}
