2026-01-14 14:40:06,904 - INFO - ##################################################
2026-01-14 14:40:06,904 - INFO - Knowledge Graph : /home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/prompt_optim/S4_1/2025-10-21/vertex_ai/gemini-2.5-flash/4_1_prompt_fully_created_by_AI_2025-10-17_17-28-38_Noria.ttl
2026-01-14 14:40:06,904 - INFO - Number of Nodes : 214
2026-01-14 14:40:06,905 - INFO - Number of edges : 494
2026-01-14 14:40:06,905 - INFO - cumulative number of nodes : 214
2026-01-14 14:40:06,906 - INFO - degree_histogram : [0, 44, 31, 25, 31, 26, 9, 12, 7, 7, 7, 1, 5, 0, 0, 4, 2, 1, 0, 0, 0, 0, 0, 2]
2026-01-14 14:40:06,906 - INFO - number of self loop : 0
2026-01-14 14:40:06,907 - INFO - ####  KPIs ####
2026-01-14 14:40:06,907 - INFO - DiGraph density : 0.010837611337808785
2026-01-14 14:40:06,907 - INFO - cumulative density : 0.010837611337808785
2026-01-14 14:40:06,908 - INFO - Average degree connectivity : {10: 4.5, 7: 3.1785714285714284, 6: 5.222222222222222, 5: 5.007692307692308, 3: 4.226666666666667, 4: 7.080645161290323, 1: 0.8636363636363636, 17: 2.5294117647058822, 9: 4.396825396825397, 12: 5.066666666666666, 11: 2.0, 8: 4.053571428571429, 16: 1.9375, 2: 2.0, 15: 2.5166666666666666, 23: 1.7173913043478262}
2026-01-14 14:40:06,908 - INFO - #### Subject, Object, predicate ####
2026-01-14 14:40:06,908 - INFO - ApplicationModule2,Agent3,{'label': 'applicationModuleSupportTeam', 'color': 'white', 'width': 1}
2026-01-14 14:40:06,908 - INFO - ApplicationModule2,Agent7,{'label': 'applicationModuleAdministrationLeader', 'color': 'white', 'width': 1}
2026-01-14 14:40:06,908 - INFO - ApplicationModule2,Agent8,{'label': 'applicationModuleSupportGroup', 'color': 'white', 'width': 1}
2026-01-14 14:40:06,908 - INFO - ApplicationModule2,Gold,{'label': 'applicationModuleSlaLevel', 'color': 'white', 'width': 1}
2026-01-14 14:40:06,908 - INFO - ApplicationModule2,Application2,{'label': 'applicationModuleOf', 'color': 'white', 'width': 1}
2026-01-14 14:40:06,908 - INFO - ApplicationModule2,InProduction,{'label': 'applicationModuleStatus', 'color': 'white', 'width': 1}
2026-01-14 14:40:06,908 - INFO - Agent3,Resource3,{'label': 'agentManagesResource', 'color': 'white', 'width': 1}
2026-01-14 14:40:06,908 - INFO - ChangeRequest3,Planned,{'label': 'changeRequestStatusCurrent', 'color': 'white', 'width': 1}
2026-01-14 14:40:06,908 - INFO - ChangeRequest3,Agent4,{'label': 'changeRequestInitiatorParty', 'color': 'white', 'width': 1}
2026-01-14 14:40:06,908 - INFO - ChangeRequest3,StandardProcedure,{'label': 'changeRequestSpecification', 'color': 'white', 'width': 1}
2026-01-14 14:40:06,908 - INFO - ChangeRequest3,InternalIntervention,{'label': 'changeRequestCategory', 'color': 'white', 'width': 1}
2026-01-14 14:40:06,908 - INFO - ChangeRequest3,Resource5,{'label': 'changeRequestImpact', 'color': 'white', 'width': 1}
2026-01-14 14:40:06,908 - INFO - ChangeRequest3,Standard,{'label': 'changeRequestType', 'color': 'white', 'width': 1}
