2026-01-16 17:59:18,543 - INFO - ##################################################
2026-01-16 17:59:18,543 - INFO - Knowledge Graph : /home/piod7321/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/prompt_optim/S4_fully_created_by_AI/2025-10-21/vertex_ai/gemini-2.5-flash/4_prompt_fully_created_by_AI_2025-10-21_10-33-12_Noria.ttl
2026-01-16 17:59:18,543 - INFO - Number of Nodes : 539
2026-01-16 17:59:18,544 - INFO - Number of edges : 745
2026-01-16 17:59:18,544 - INFO - cumulative number of nodes : 539
2026-01-16 17:59:18,544 - INFO - degree_histogram : [0, 381, 41, 17, 20, 8, 17, 4, 6, 4, 8, 5, 6, 1, 2, 2, 1, 1, 2, 3, 3, 3, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
2026-01-16 17:59:18,545 - INFO - number of self loop : 23
2026-01-16 17:59:18,545 - INFO - ####  KPIs ####
2026-01-16 17:59:18,545 - INFO - DiGraph density : 0.0025691249801711833
2026-01-16 17:59:18,546 - INFO - cumulative density : 0.0025691249801711833
2026-01-16 17:59:18,549 - INFO - Average degree connectivity : {18: 4.527777777777778, 1: 0.007874015748031496, 7: 5.071428571428571, 6: 2.823529411764706, 13: 7.0, 2: 0.4146341463414634, 14: 1.6785714285714286, 12: 5.805555555555555, 3: 0.8431372549019608, 19: 3.491228070175439, 11: 5.581818181818182, 28: 5.5, 8: 5.354166666666667, 4: 0.9625, 27: 3.037037037037037, 10: 6.7375, 5: 1.025, 16: 5.125, 38: 6.394736842105263, 17: 7.352941176470588, 22: 6.045454545454546, 21: 2.9365079365079363, 20: 3.466666666666667, 9: 4.75, 15: 3.3333333333333335}
2026-01-16 17:59:18,549 - INFO - #### Subject, Object, predicate ####
2026-01-16 17:59:18,549 - INFO - Resource005,SN-ER01-JKL234,{'label': 'resourceSerialNumber', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,549 - INFO - Resource005,Agent002,{'label': 'resourceManagedBy', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,549 - INFO - Resource005,ProductModel003,{'label': 'resourceProductModel', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,550 - INFO - Resource005,Agent006,{'label': 'resourceManagedBy', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,550 - INFO - Resource005,Edge Router 01,{'label': 'label', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,550 - INFO - Resource005,er01.corp.example.com,{'label': 'resourceHostName', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,550 - INFO - Resource005,2021-05-20T09:30:00+00:00,{'label': 'resourceInstallationDate', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,550 - INFO - Resource005,Application003,{'label': 'resourceForApplication', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,550 - INFO - Resource005,192.168.1.1,{'label': 'resourceManagementIPAddress', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,550 - INFO - Resource005,Router,{'label': 'resourceType', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,550 - INFO - Resource005,ASSET-ER-001,{'label': 'resourceLogisticId', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,550 - INFO - Resource005,Router connecting the corporate network to the int...,{'label': 'comment', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,550 - INFO - Resource005,Locus007,{'label': 'locatedAtLocus', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,550 - INFO - Resource005,InProduction,{'label': 'resourceUsageState', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,550 - INFO - Resource005,Routeur Bordure 01,{'label': 'label', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,550 - INFO - TroubleTicketNote001,2024-04-20T10:35:00+00:00,{'label': 'created', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,550 - INFO - TroubleTicketNote001,Internal,{'label': 'troubleTicketNoteCommentType', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,550 - INFO - TroubleTicketNote001,Customer reported issues. Checked monitoring, high...,{'label': 'comment', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,550 - INFO - TroubleTicketNote001,Agent005,{'label': 'creator', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,550 - INFO - TroubleTicketNote001,Initial Diagnosis for TT-20240420-001,{'label': 'label', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,550 - INFO - TroubleTicketNote001,Diagnosis,{'label': 'troubleTicketNoteOperationType', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,550 - INFO - TroubleTicketNote001,TroubleTicket001,{'label': 'isPartOf', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,550 - INFO - Locus001,Location for Database Server 01.,{'label': 'comment', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,550 - INFO - Locus001,Rack R1-A01, Unit 10,{'label': 'label', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,550 - INFO - Locus001,R1,{'label': 'locusLine', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,550 - INFO - Locus001,10,{'label': 'locusRow', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,550 - INFO - ApplicationModule004,Silver,{'label': 'applicationModuleSlaLevel', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,550 - INFO - ApplicationModule004,Application002,{'label': 'applicationModuleOf', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,550 - INFO - ApplicationModule004,Production instance of a monitoring agent.,{'label': 'comment', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,550 - INFO - ApplicationModule004,Agent Système de Supervision Prod,{'label': 'label', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,550 - INFO - ApplicationModule004,2023-01-01T00:00:00+00:00,{'label': 'applicationModuleSlaLevelDate', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,550 - INFO - ApplicationModule004,MONITOR-PROD_AGENT-PROD,{'label': 'applicationModuleName', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,550 - INFO - ApplicationModule004,Agent002,{'label': 'applicationModuleSupportTeam', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,551 - INFO - ApplicationModule004,AGENT-PROD,{'label': 'applicationModuleIdentifier', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,551 - INFO - ApplicationModule004,org#OrganizationalUnit001,{'label': 'applicationModuleAdministrationTeam', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,551 - INFO - ApplicationModule004,Resource007,{'label': 'resourceForApplication', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,551 - INFO - ApplicationModule004,false,{'label': 'applicationModuleHotlineEnabled', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,551 - INFO - ApplicationModule004,Monitoring System Agent Prod,{'label': 'label', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,551 - INFO - ApplicationModule004,InProduction,{'label': 'applicationModuleStatus', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,551 - INFO - Silver,Silver SLA,{'label': 'prefLabel', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,551 - INFO - Up,Up,{'label': 'prefLabel', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,551 - INFO - NetworkLink003,NL-WEB01-CR01-001,{'label': 'networkLinkId', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,551 - INFO - NetworkLink003,Link WEB01-CR01,{'label': 'label', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,551 - INFO - NetworkLink003,NetworkInterface005,{'label': 'networkInterfaceConnects', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,551 - INFO - NetworkLink003,NetworkInterface002,{'label': 'networkInterfaceConnects', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,551 - INFO - NetworkLink003,Resource002,{'label': 'networkLinkTerminationResource', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,551 - INFO - NetworkLink003,Agent002,{'label': 'resourceManagedBy', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,551 - INFO - NetworkLink003,Internal network link connecting Web Server 01 to ...,{'label': 'comment', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,551 - INFO - NetworkLink003,Ethernet,{'label': 'networkLinkType', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,551 - INFO - NetworkLink003,Resource004,{'label': 'networkLinkTerminationResource', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,551 - INFO - NetworkLink003,2022-02-01T12:00:00+00:00,{'label': 'networkLinkInstallationDate', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,551 - INFO - Resolved,Resolved,{'label': 'prefLabel', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,551 - INFO - ApplicationModule002,org#OrganizationalUnit001,{'label': 'applicationModuleAdministrationTeam', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,551 - INFO - ApplicationModule002,org#OrganizationalUnit002,{'label': 'applicationModuleSupportGroup', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,551 - INFO - ApplicationModule002,Agent004,{'label': 'applicationModuleAdministrationLeader', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,551 - INFO - ApplicationModule002,2023-01-01T00:00:00+00:00,{'label': 'applicationModuleSlaLevelDate', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,551 - INFO - ApplicationModule002,true,{'label': 'applicationModuleHotlineEnabled', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,551 - INFO - ApplicationModule002,Gold,{'label': 'applicationModuleSlaLevel', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,551 - INFO - ApplicationModule002,Resource003,{'label': 'resourceForApplication', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,551 - INFO - ApplicationModule002,BACKEND-PROD,{'label': 'applicationModuleIdentifier', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,551 - INFO - ApplicationModule002,Backend E-commerce Prod,{'label': 'label', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,551 - INFO - ApplicationModule002,Agent001,{'label': 'applicationModuleSupportTeam', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,551 - INFO - ApplicationModule002,InProduction,{'label': 'applicationModuleStatus', 'edge_type': 'entity_to_entity', 'width': 1}
2026-01-16 17:59:18,551 - INFO - ApplicationModule002,E-commerce Backend Prod,{'label': 'label', 'edge_type': 'entity_to_literal', 'width': 1}
2026-01-16 17:59:18,551 - INFO - ApplicationModule002,Production instance of the E-commerce platform's b...,{'label': 'comment', 'edge_type': 'entity_to_literal', 'width': 1}
