##################################################
Knowledge Graph : /home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-10-17/vertex_ai/gemini-2.5-flash/4_1_prompt_fully_created_by_AI_2025-10-17_17-28-38_Noria.ttl
Number of Nodes : 214
Number of edges : 494
cumulative number of nodes : 214
degree_histogram : [0, 44, 31, 25, 31, 26, 9, 12, 7, 7, 7, 1, 5, 0, 0, 4, 2, 1, 0, 0, 0, 0, 0, 2]
number of self loop : 0
####  KPIs ####
DiGraph density : 0.010837611337808785
cumulative density : 0.010837611337808785
Average degree connectivity : {2: 2.0, 10: 4.5, 9: 4.396825396825397, 3: 4.226666666666667, 11: 2.0, 6: 5.222222222222222, 4: 7.080645161290323, 12: 5.066666666666666, 7: 3.1785714285714284, 15: 2.5166666666666666, 16: 1.9375, 1: 0.8636363636363636, 5: 5.007692307692308, 23: 1.7173913043478262, 17: 2.5294117647058822, 8: 4.053571428571429}
#### Subject, Object, predicate ####
ProductModel1,organization,{'label': 'productManufacturedBy', 'color': 'white'}
Resource8,Router,{'label': 'resourceType', 'color': 'white'}
Resource8,Application1,{'label': 'resourceForApplication', 'color': 'white'}
Resource8,Agent2,{'label': 'resourceManagedBy', 'color': 'white'}
Resource8,Locus5,{'label': 'locatedAtLocus', 'color': 'white'}
Resource8,ProductModel3,{'label': 'resourceProductModel', 'color': 'white'}
Resource8,InProduction,{'label': 'resourceUsageState', 'color': 'white'}
NL1,Agent2,{'label': 'resourceManagedBy', 'color': 'white'}
NL1,NI1_R1,{'label': 'networkInterfaceConnects', 'color': 'white'}
NL1,NI2_R2,{'label': 'networkInterfaceConnects', 'color': 'white'}
Agent2,Resource8,{'label': 'agentManagesResource', 'color': 'white'}
Agent2,Phone,{'label': 'agentPreferredContactMethod', 'color': 'white'}
Agent2,Resource2,{'label': 'agentManagesResource', 'color': 'white'}
EventRecord7,ApplicationModule2,{'label': 'logOriginatingManagedObject', 'color': 'white'}
EventRecord7,Application4,{'label': 'logOriginatingManagementSystem', 'color': 'white'}
EventRecord7,ChangeRequest2,{'label': 'references', 'color': 'white'}
EventRecord7,Agent12,{'label': 'logOriginatingAgent', 'color': 'white'}
EventRecord7,Informational,{'label': 'alarmSeverity', 'color': 'white'}
ApplicationModule2,Agent3,{'label': 'applicationModuleAdministrationTeam', 'color': 'white'}
ApplicationModule2,Application2,{'label': 'applicationModuleOf', 'color': 'white'}
ApplicationModule2,Gold,{'label': 'applicationModuleSlaLevel', 'color': 'white'}
ApplicationModule2,InProduction,{'label': 'applicationModuleStatus', 'color': 'white'}
ApplicationModule2,Agent7,{'label': 'applicationModuleAdministrationLeader', 'color': 'white'}
ApplicationModule2,Agent8,{'label': 'applicationModuleSupportGroup', 'color': 'white'}
NI5_R4,Resource4,{'label': 'networkInterfaceOf', 'color': 'white'}
NI5_R4,Enabled,{'label': 'networkInterfaceAdministrativeStatus', 'color': 'white'}
NI5_R4,Up,{'label': 'networkInterfaceOperationalStatus', 'color': 'white'}
Resource4,InProduction,{'label': 'resourceUsageState', 'color': 'white'}
Resource4,Application8,{'label': 'resourceForApplication', 'color': 'white'}
Resource4,Resource6,{'label': 'clusterController', 'color': 'white'}
Resource4,Server,{'label': 'resourceType', 'color': 'white'}
Resource4,ProductModel5,{'label': 'resourceProductModel', 'color': 'white'}
Resource4,Agent5,{'label': 'resourceManagedBy', 'color': 'white'}
Resource4,Locus2,{'label': 'locatedAtLocus', 'color': 'white'}
ChangeRequest1,EventRecord6,{'label': 'documentStatusHistory', 'color': 'white'}
ChangeRequest1,SecurityPatch,{'label': 'changeRequestChangeCause', 'color': 'white'}
ChangeRequest1,Normal,{'label': 'changeRequestType', 'color': 'white'}
ChangeRequest1,SoftwareUpgrade,{'label': 'changeRequestCategory', 'color': 'white'}
ChangeRequest1,Planned,{'label': 'changeRequestStatusCurrent', 'color': 'white'}
ChangeRequest1,Resource2,{'label': 'changeRequestImpact', 'color': 'white'}
ChangeRequest1,Agent6,{'label': 'changeRequestInitiatorParty', 'color': 'white'}
ChangeRequest1,Agent2,{'label': 'changeRequestPilotParty', 'color': 'white'}
EventRecord6,Informational,{'label': 'alarmSeverity', 'color': 'white'}
EventRecord6,ChangeRequest1,{'label': 'references', 'color': 'white'}
EventRecord6,Resource2,{'label': 'logOriginatingManagedObject', 'color': 'white'}
EventRecord6,Agent6,{'label': 'logOriginatingAgent', 'color': 'white'}
EventRecord6,Application4,{'label': 'logOriginatingManagementSystem', 'color': 'white'}
TroubleTicketNote2_TT1,Internal,{'label': 'troubleTicketNoteCommentType', 'color': 'white'}
TroubleTicketNote2_TT1,Resolution,{'label': 'troubleTicketNoteOperationType', 'color': 'white'}
TroubleTicketNote2_TT1,TroubleTicket1,{'label': 'isPartOf', 'color': 'white'}
Application1,infrastructure,{'label': 'applicationType', 'color': 'white'}
Application1,high,{'label': 'applicationBusinessImportance', 'color': 'white'}
NI13_R12,Enabled,{'label': 'networkInterfaceAdministrativeStatus', 'color': 'white'}
NI13_R12,Up,{'label': 'networkInterfaceOperationalStatus', 'color': 'white'}
NI13_R12,Resource12,{'label': 'networkInterfaceOf', 'color': 'white'}
TroubleTicket3,P2,{'label': 'troubleTicketPriority', 'color': 'white'}
